Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Mercadito Margarita,1.0,0.0,14.0,0.0,-0.0,14.0,1.85,14.0,0.0,1,0,1,21,14.0,2019-10-1
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Mercadito Margarita,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Mercadito Margarita,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Mercadito Margarita Don Julio,1.0,0.0,14.0,0.0,-0.0,14.0,1.33,14.0,0.0,1,0,5,21,14.0,2019-10-29
Mercadito Margarita,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Mercadito Margarita,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Mercadito Margarita,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Mercadito Margarita,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Mercadito Margarita,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Mercadito Margarita,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Mercadito Margarita,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Mercadito Margarita Don Julio,1.0,0.0,14.0,0.0,-0.0,14.0,0.75,14.0,0.0,4,0,2,27,14.0,2019-10-11
Mercadito Margarita,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Mercadito Margarita,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Mercadito Margarita,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Mercadito Margarita,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Mercadito Margarita Don Julio,1.0,0.0,14.0,0.0,-0.0,14.0,2.0,14.0,0.0,1,0,3,29,14.0,2019-10-15
Mercadito Margarita,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Mercadito Margarita Don Julio,4.0,0.0,56.0,0.0,-0.0,56.0,1.63,14.0,0.0,6,0,3,27,56.0,2019-10-20
Mercadito Margarita,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Mercadito Margarita,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
