Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Michelo Ultra Light,2.0,0.0,12.0,0.0,-0.0,12.0,1.58,6.0,0.0,1,0,1,21,0.0,2019-10-1
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Michelo Ultra Light,1.0,0.0,6.0,0.0,-0.0,6.0,0.69,6.0,0.0,3,0,4,31,0.0,2019-10-24
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Michelo Ultra Light,2.0,0.0,12.0,-4.0,-0.0,8.0,0.43,4.0,0.0,4,0,2,27,0.0,2019-10-11
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Michelo Ultra Light,2.0,0.0,24.0,0.0,-0.0,24.0,3.06,12.0,0.0,5,1,1,30,0.0,2019-10-5
Michelo Ultra Light,3.0,0.0,18.0,-6.0,-0.0,12.0,2.26,4.0,0.0,2,0,5,18,0.0,2019-10-30
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Michelo Ultra Light,2.0,0.0,28.0,0.0,-0.0,28.0,1.57,14.0,0.0,5,1,4,30,0.0,2019-10-26
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Michelo Ultra Light,5.0,0.0,38.0,-6.0,-0.0,32.0,2.61,6.4,0.0,4,0,3,23,0.0,2019-10-18
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Michelo Ultra Light,4.0,0.0,24.0,-8.0,-0.0,16.0,0.29,4.0,0.0,1,0,5,15,0.0,2019-12-31
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Michelo Ultra Light,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
