Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Mimosa with Sunday Brunch,7.0,0.0,35.0,0.0,-0.0,35.0,1.52,5.0,0.0,6,0,1,32,35.0,2019-10-6
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Mimosa with Sunday Brunch,5.0,0.0,25.0,0.0,-0.0,25.0,0.73,5.0,0.0,6,0,3,27,25.0,2019-10-20
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Mimosa with Sunday Brunch,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
