Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Modelo Especial,3.0,0.0,18.0,-3.0,-0.0,15.0,1.98,5.0,0.0,1,0,1,21,0.0,2019-10-1
Cubeta Modelo Especial,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Modelo Especial,1.0,0.0,5.0,-1.0,-0.0,4.0,3.29,4.0,0.0,2,0,4,32,0.0,2019-10-23
Cubeta Modelo Especial,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Modelo Especial,2.0,0.0,10.0,-2.0,-0.0,8.0,0.75,4.0,0.0,1,0,4,32,0.0,2019-10-22
Cubeta Modelo Especial,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Modelo Especial,2.0,0.0,10.0,0.0,-0.0,10.0,0.95,5.0,0.0,1,0,5,21,0.0,2019-10-29
Cubeta Modelo Especial,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Modelo Especial,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Cubeta Modelo Especial,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Modelo Especial,1.0,0.0,8.0,-1.0,-0.0,7.0,0.28,7.0,0.0,3,0,3,25,0.0,2019-10-17
Cubeta Modelo Especial,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Modelo Especial,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Cubeta Modelo Especial,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Modelo Especial,3.0,0.0,24.0,-3.0,-0.0,21.0,2.42,7.0,0.0,3,0,4,31,0.0,2019-10-24
Cubeta Modelo Especial,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Modelo Especial,3.0,0.0,24.0,0.0,-0.0,24.0,2.06,8.0,0.0,4,0,4,31,0.0,2019-10-25
Cubeta Modelo Especial,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Modelo Especial,4.0,0.0,26.0,-2.0,-0.0,24.0,0.97,6.0,0.0,3,0,2,24,0.0,2019-10-10
Cubeta Modelo Especial,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Modelo Especial,10.0,0.0,65.0,-2.0,-0.0,63.0,3.37,6.3,0.0,4,0,2,27,0.0,2019-10-11
Cubeta Modelo Especial,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Modelo Especial,1.0,0.0,5.0,-1.0,-0.0,4.0,1.31,4.0,0.0,0,0,1,32,0.0,2019-10-7
