Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Mojarra,1.0,0.0,15.95,0.0,-0.0,15.95,2.1,15.95,0.0,1,0,1,21,15.95,2019-10-1
Mojarra,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Mojarra,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Mojarra,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Mojarra,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Mojarra,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Mojarra,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Mojarra,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Mojarra,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Mojarra,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Mojarra,1.0,0.0,15.95,0.0,-0.0,15.95,0.85,15.95,0.0,4,0,2,27,15.95,2019-10-11
Mojarra,2.0,0.0,31.9,0.0,-0.0,31.9,1.76,15.95,0.0,5,1,2,28,31.9,2019-10-12
Mojarra,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Mojarra,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Mojarra,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Mojarra,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Mojarra,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Mojarra,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Mojarra,1.0,0.0,15.95,0.0,-0.0,15.95,1.04,15.95,0.0,5,1,3,26,15.95,2019-10-19
Mojarra,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Mojarra,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Mojarra,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Mojarra,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Mojarra,1.0,0.0,15.95,-15.95,-0.0,0.0,0.0,0.0,0.0,3,0,4,31,0.0,2019-10-24
Mojarra,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Mojarra,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Mojarra,3.0,0.0,47.85,0.0,-0.0,47.85,1.37,15.95,0.0,6,0,4,22,47.85,2019-10-27
Mojarra,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Mojarra,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Mojarra,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Mojarra,1.0,0.0,15.95,0.0,-0.0,15.95,2.01,15.95,0.0,3,0,5,20,15.95,2019-10-31
Mojarra,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Mojarra,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Mojarra,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Mojarra,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Mojarra,1.0,0.0,15.95,0.0,-0.0,15.95,4.63,15.95,0.0,3,0,1,15,15.95,2019-12-5
Mojarra,2.0,0.0,31.9,0.0,-0.0,31.9,1.74,15.95,0.0,4,0,1,18,31.9,2019-12-6
Mojarra,1.0,0.0,15.95,0.0,-0.0,15.95,0.52,15.95,0.0,5,1,1,16,15.95,2019-12-7
Mojarra,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Mojarra,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Mojarra,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Mojarra,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Mojarra,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Mojarra,1.0,0.0,15.95,0.0,-0.0,15.95,1.35,15.95,0.0,4,0,2,22,15.95,2019-12-13
Mojarra,4.0,0.0,63.8,0.0,-0.0,63.8,2.85,15.95,0.0,5,1,2,15,63.8,2019-12-14
Mojarra,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Mojarra,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Mojarra,2.0,0.0,31.9,0.0,-0.0,31.9,6.61,15.95,0.0,1,0,3,12,31.9,2019-12-17
Mojarra,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Mojarra,3.0,0.0,47.85,0.0,-0.0,47.85,5.29,15.95,0.0,3,0,3,15,47.85,2019-12-19
Mojarra,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Mojarra,2.0,0.0,31.9,0.0,-0.0,31.9,2.12,15.95,0.0,5,1,3,18,31.9,2019-12-21
Mojarra,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
Mojarra,1.0,0.0,15.95,0.0,-0.0,15.95,1.44,15.95,0.0,0,0,4,9,15.95,2019-12-23
Mojarra,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Mojarra,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Mojarra,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Mojarra,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Mojarra,1.0,0.0,15.95,0.0,-0.0,15.95,0.92,15.95,0.0,5,1,4,13,15.95,2019-12-28
Mojarra,1.0,0.0,15.95,-15.95,-0.0,0.0,0.0,0.0,0.0,6,0,5,12,0.0,2019-12-29
Mojarra,1.0,0.0,15.95,0.0,-0.0,15.95,2.31,15.95,0.0,0,0,5,11,15.95,2019-12-30
Mojarra,1.0,0.0,15.95,0.0,-0.0,15.95,0.29,15.95,0.0,1,0,5,15,15.95,2019-12-31
