Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Molcajete Mar Y Terra,2.0,0.0,89.9,0.0,-0.0,89.9,4.95,44.95,0.0,5,1,2,28,89.9,2019-10-12
Molcajete Mar Y Terra,1.0,0.0,44.95,0.0,-0.0,44.95,1.56,44.95,0.0,6,0,2,26,44.95,2019-10-13
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Molcajete Mar Y Terra,1.0,0.0,44.95,0.0,-0.0,44.95,6.42,44.95,0.0,1,0,3,29,44.95,2019-10-15
Molcajete Mar Y Terra,1.0,0.0,44.95,0.0,-0.0,44.95,15.35,44.95,0.0,2,0,3,29,44.95,2019-10-16
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Molcajete Mar Y Terra,1.0,0.0,44.95,0.0,-0.0,44.95,3.67,44.95,0.0,4,0,3,23,44.95,2019-10-18
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Molcajete Mar Y Terra,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
