Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Montejo,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Montejo michelada,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Montejo draft,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Montejo,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Montejo michelada,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Montejo draft,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Montejo,3.0,0.0,18.0,-2.0,-0.0,16.0,1.49,5.33,0.0,1,0,4,32,16.0,2019-10-22
Montejo michelada,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Montejo draft,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Montejo,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Montejo michelada,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Montejo draft,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Montejo,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Montejo michelada,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Montejo draft,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Montejo,1.0,0.0,6.0,0.0,-0.0,6.0,0.24,6.0,0.0,3,0,3,25,6.0,2019-10-17
Montejo michelada,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Montejo draft,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Montejo,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Montejo michelada,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Montejo draft,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Montejo,1.0,0.0,14.0,-2.0,-0.0,12.0,1.38,12.0,0.0,3,0,4,31,12.0,2019-10-24
Montejo michelada,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Montejo draft,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Montejo,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Montejo michelada,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Montejo draft,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Montejo,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Montejo michelada,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Montejo draft,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Montejo,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Montejo michelada,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Montejo draft,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Montejo,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Montejo michelada,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Montejo draft,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Montejo,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Montejo michelada,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Montejo draft,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
