Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
HH Nachos Vaqueros,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Nachos Vaqueros,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
HH Nachos Vaqueros,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Nachos Vaqueros,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
HH Nachos Vaqueros,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Nachos Vaqueros,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
HH Nachos Vaqueros,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Nachos Vaqueros,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Nachos Vaqueros,1.0,0.0,14.95,0.0,-0.0,14.95,2.75,14.95,0.0,0,0,4,20,14.95,2019-10-28
HH Nachos Vaqueros,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Nachos Vaqueros,1.0,0.0,11.95,0.0,-0.0,11.95,0.48,11.95,0.0,3,0,3,25,11.95,2019-10-17
HH Nachos Vaqueros,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
HH Nachos Vaqueros,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Nachos Vaqueros,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Nachos Vaqueros,2.0,0.0,29.9,0.0,-0.0,29.9,3.44,14.95,0.0,3,0,4,31,29.9,2019-10-24
HH Nachos Vaqueros,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Nachos Vaqueros,2.0,0.0,26.9,0.0,-0.0,26.9,2.31,13.45,0.0,4,0,4,31,26.9,2019-10-25
HH Nachos Vaqueros,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
HH Nachos Vaqueros,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Nachos Vaqueros,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
