Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Negra Modelo,1.0,0.0,5.0,0.0,-0.0,5.0,0.66,5.0,0.0,1,0,1,21,0.0,2019-10-1
Negra Modelo,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Negra Modelo,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Negra Modelo,3.0,0.0,18.0,0.0,-0.0,18.0,0.85,6.0,0.0,4,0,1,26,0.0,2019-10-4
Negra Modelo,1.0,0.0,5.0,0.0,-0.0,5.0,0.64,5.0,0.0,5,1,1,30,0.0,2019-10-5
Negra Modelo,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Negra Modelo,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Negra Modelo,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Negra Modelo,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Negra Modelo,1.0,0.0,5.0,-1.0,-0.0,4.0,0.16,4.0,0.0,3,0,2,24,0.0,2019-10-10
Negra Modelo,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Negra Modelo,1.0,0.0,5.0,0.0,-0.0,5.0,0.28,5.0,0.0,5,1,2,28,0.0,2019-10-12
Negra Modelo,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Negra Modelo,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Negra Modelo,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Negra Modelo,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Negra Modelo,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Negra Modelo,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Negra Modelo,1.0,0.0,8.0,0.0,-0.0,8.0,0.52,8.0,0.0,5,1,3,26,0.0,2019-10-19
Negra Modelo,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Negra Modelo,3.0,0.0,15.0,0.0,-0.0,15.0,2.12,5.0,0.0,0,0,3,31,0.0,2019-10-21
Negra Modelo,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Negra Modelo,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Negra Modelo,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Negra Modelo,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Negra Modelo,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Negra Modelo,1.0,0.0,8.0,0.0,-0.0,8.0,0.23,8.0,0.0,6,0,4,22,0.0,2019-10-27
Negra Modelo,4.0,0.0,29.0,0.0,-0.0,29.0,5.34,7.25,0.0,0,0,4,20,0.0,2019-10-28
Negra Modelo,1.0,0.0,5.0,-1.0,-0.0,4.0,0.38,4.0,0.0,1,0,5,21,0.0,2019-10-29
Negra Modelo,3.0,0.0,15.0,0.0,-0.0,15.0,2.82,5.0,0.0,2,0,5,18,0.0,2019-10-30
Negra Modelo,2.0,0.0,13.0,-1.0,-0.0,12.0,1.51,6.0,0.0,3,0,5,20,0.0,2019-10-31
Negra Modelo,4.0,0.0,29.0,0.0,-0.0,29.0,1.1,7.25,0.0,6,0,1,14,0.0,2019-12-1
Negra Modelo,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Negra Modelo,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Negra Modelo,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Negra Modelo,2.0,0.0,10.0,0.0,-0.0,10.0,2.9,5.0,0.0,3,0,1,15,0.0,2019-12-5
Negra Modelo,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Negra Modelo,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
Negra Modelo,4.0,0.0,20.0,0.0,-0.0,20.0,0.54,5.0,0.0,6,0,2,15,0.0,2019-12-8
Negra Modelo,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Negra Modelo,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Negra Modelo,2.0,0.0,10.0,-2.0,-0.0,8.0,0.94,4.0,0.0,2,0,2,18,0.0,2019-12-11
Negra Modelo,5.0,0.0,28.0,-2.0,-0.0,26.0,3.42,5.2,0.0,3,0,2,19,0.0,2019-12-12
Negra Modelo,2.0,0.0,10.0,0.0,-0.0,10.0,0.84,5.0,0.0,4,0,2,22,0.0,2019-12-13
Negra Modelo,1.0,0.0,5.0,0.0,-0.0,5.0,0.22,5.0,0.0,5,1,2,15,0.0,2019-12-14
Negra Modelo,1.0,0.0,5.0,0.0,-0.0,5.0,0.26,5.0,0.0,6,0,3,14,0.0,2019-12-15
Negra Modelo,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Negra Modelo,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Negra Modelo,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Negra Modelo,2.0,0.0,10.0,0.0,-0.0,10.0,1.1,5.0,0.0,3,0,3,15,0.0,2019-12-19
Negra Modelo,6.0,0.0,33.0,-2.0,-0.0,31.0,1.25,5.17,0.0,4,0,3,17,0.0,2019-12-20
Negra Modelo,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Negra Modelo,2.0,0.0,10.0,-5.0,-0.0,5.0,0.16,2.5,0.0,6,0,4,17,0.0,2019-12-22
Negra Modelo,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
Negra Modelo,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Negra Modelo,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Negra Modelo,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Negra Modelo,2.0,0.0,10.0,-2.0,-0.0,8.0,0.68,4.0,0.0,4,0,4,11,0.0,2019-12-27
Negra Modelo,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
Negra Modelo,2.0,0.0,16.0,0.0,-0.0,16.0,0.97,8.0,0.0,6,0,5,12,0.0,2019-12-29
Negra Modelo,2.0,0.0,10.0,-1.0,-0.0,9.0,1.31,4.5,0.0,0,0,5,11,0.0,2019-12-30
Negra Modelo,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Negra Modelo,0,0,0,0,0,0,0,0,0,5,1,1,24,0,2020-2-1
