Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Pacifico,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Pacifico,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Pacifico,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Pacifico,1.0,0.0,5.0,0.0,-0.0,5.0,0.24,5.0,0.0,4,0,1,26,0.0,2019-10-4
Pacifico,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Pacifico,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Pacifico,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Pacifico,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Pacifico,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Pacifico,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Pacifico,1.0,0.0,8.0,0.0,-0.0,8.0,0.43,8.0,0.0,4,0,2,27,0.0,2019-10-11
Pacifico,2.0,0.0,10.0,0.0,-0.0,10.0,0.55,5.0,0.0,5,1,2,28,0.0,2019-10-12
Pacifico,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Pacifico,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Pacifico,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Pacifico,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Pacifico,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Pacifico,1.0,0.0,5.0,0.0,-0.0,5.0,0.41,5.0,0.0,4,0,3,23,0.0,2019-10-18
Pacifico,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Pacifico,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Pacifico,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Pacifico,1.0,0.0,5.0,-1.0,-0.0,4.0,0.37,4.0,0.0,1,0,4,32,0.0,2019-10-22
Pacifico,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Pacifico,1.0,0.0,5.0,-1.0,-0.0,4.0,0.46,4.0,0.0,3,0,4,31,0.0,2019-10-24
Pacifico,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Pacifico,2.0,0.0,16.0,0.0,-0.0,16.0,0.9,8.0,0.0,5,1,4,30,0.0,2019-10-26
Pacifico,2.0,0.0,10.0,0.0,-0.0,10.0,0.29,5.0,0.0,6,0,4,22,0.0,2019-10-27
Pacifico,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Pacifico,1.0,0.0,8.0,0.0,-0.0,8.0,0.76,8.0,0.0,1,0,5,21,0.0,2019-10-29
Pacifico,1.0,0.0,8.0,-1.0,-0.0,7.0,1.32,7.0,0.0,2,0,5,18,0.0,2019-10-30
Pacifico,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Pacifico,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Pacifico,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Pacifico,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Pacifico,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Pacifico,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Pacifico,5.0,0.0,25.0,0.0,-0.0,25.0,1.37,5.0,0.0,4,0,1,18,0.0,2019-12-6
Pacifico,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
Pacifico,4.0,0.0,26.0,0.0,-0.0,26.0,0.71,6.5,0.0,6,0,2,15,0.0,2019-12-8
Pacifico,2.0,0.0,13.0,-2.0,-0.0,11.0,0.36,5.5,0.0,0,0,2,16,0.0,2019-12-9
Pacifico,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Pacifico,1.0,0.0,8.0,-1.0,-0.0,7.0,0.82,7.0,0.0,2,0,2,18,0.0,2019-12-11
Pacifico,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Pacifico,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Pacifico,1.0,0.0,5.0,0.0,-0.0,5.0,0.22,5.0,0.0,5,1,2,15,0.0,2019-12-14
Pacifico,3.0,0.0,24.0,0.0,-0.0,24.0,1.23,8.0,0.0,6,0,3,14,0.0,2019-12-15
Pacifico,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Pacifico,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Pacifico,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Pacifico,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Pacifico,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Pacifico,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Pacifico,2.0,0.0,13.0,0.0,-0.0,13.0,0.41,6.5,0.0,6,0,4,17,0.0,2019-12-22
Pacifico,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
Pacifico,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Pacifico,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Pacifico,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
