Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Parrilla Para Dos,1.0,0.0,39.95,-39.95,-0.0,0.0,0.0,0.0,0.0,4,0,1,26,0.0,2019-10-4
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Parrilla Para Dos,2.0,0.0,79.9,0.0,-0.0,79.9,3.47,39.95,0.0,6,0,1,32,79.9,2019-10-6
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Parrilla Para Dos,2.0,0.0,79.9,0.0,-0.0,79.9,16.5,39.95,0.0,1,0,2,29,79.9,2019-10-8
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Parrilla Para Dos,1.0,0.0,39.95,0.0,-0.0,39.95,2.62,39.95,0.0,5,1,3,26,39.95,2019-10-19
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Parrilla Para Dos,1.0,0.0,39.95,0.0,-0.0,39.95,2.24,39.95,0.0,5,1,4,30,39.95,2019-10-26
Parrilla Para Dos,1.0,0.0,39.95,0.0,-0.0,39.95,1.14,39.95,0.0,6,0,4,22,39.95,2019-10-27
Parrilla Para Dos,1.0,0.0,39.95,0.0,-0.0,39.95,7.35,39.95,0.0,0,0,4,20,39.95,2019-10-28
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Parrilla Para Dos,2.0,0.0,79.9,0.0,-0.0,79.9,10.08,39.95,0.0,3,0,5,20,79.9,2019-10-31
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Parrilla Para Dos,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
