Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Pina Colada,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Pina Colada,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Pina Colada,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Pina Colada,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Pina Colada,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Pina Colada,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Pina Colada,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Pina Colada,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Pina Colada,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Pina Colada,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Pina Colada,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Pina Colada,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Pina Colada,1.0,0.0,8.0,0.0,-0.0,8.0,0.35,8.0,0.0,6,0,1,32,0.0,2019-10-6
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Pina Colada,1.0,0.0,8.0,0.0,-0.0,8.0,1.14,8.0,0.0,0,0,2,22,0.0,2019-10-14
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Pina Colada,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Pina Colada,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Pina Colada,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Pina Colada,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Virgin Pina Colada,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Pina Colada,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
