Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Pozole,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Pozole,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Pozole,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Pozole,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Pozole,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Pozole,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Pozole,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Pozole,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Pozole,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Pozole,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Pozole,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Pozole,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Pozole,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Pozole,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Pozole,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Pozole,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Pozole,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Pozole,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Pozole,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Pozole,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Pozole,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Pozole,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Pozole,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Pozole,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Pozole,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Pozole,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Pozole,2.0,0.0,21.9,-21.9,-0.0,0.0,0.0,0.0,0.0,5,1,2,28,0.0,2019-10-12
Pozole,4.0,0.0,43.8,0.0,-0.0,43.8,1.25,10.95,0.0,6,0,4,22,43.8,2019-10-27
Pozole,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Pozole,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Pozole,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Pozole,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Pozole,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Pozole,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Pozole,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Pozole,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Pozole,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Pozole,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Pozole,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Pozole,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Pozole,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Pozole,1.0,0.0,10.95,0.0,-0.0,10.95,0.56,10.95,0.0,6,0,3,14,10.95,2019-12-15
Pozole,2.0,0.0,21.9,0.0,-0.0,21.9,0.98,10.95,0.0,5,1,2,15,21.9,2019-12-14
Pozole,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Pozole,2.0,0.0,21.9,0.0,-0.0,21.9,0.88,10.95,0.0,4,0,3,17,21.9,2019-12-20
Pozole,1.0,0.0,10.95,0.0,-0.0,10.95,2.06,10.95,0.0,0,0,1,17,10.95,2019-12-2
Pozole,1.0,0.0,10.95,0.0,-0.0,10.95,1.47,10.95,0.0,1,0,1,18,10.95,2019-12-3
Pozole,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Pozole,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Pozole,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Pozole,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Pozole,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Pozole,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Pozole,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Pozole,5.0,0.0,54.75,0.0,-0.0,54.75,1.78,10.95,0.0,5,1,1,16,54.75,2019-12-7
Pozole,7.0,0.0,76.65,-10.95,-0.0,65.7,2.5,9.39,0.0,6,0,1,14,65.7,2019-12-1
Pozole,1.0,0.0,10.95,0.0,-0.0,10.95,0.34,10.95,0.0,6,0,4,17,10.95,2019-12-22
Pozole,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
Pozole,1.0,0.0,10.95,0.0,-0.0,10.95,0.63,10.95,0.0,5,1,4,13,10.95,2019-12-28
Pozole,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Pozole,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Pozole,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Pozole,2.0,0.0,21.9,0.0,-0.0,21.9,3.53,10.95,0.0,1,0,1,9,21.9,2020-2-4
Pozole,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
Pozole,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
Pozole,0,0,0,0,0,0,0,0,0,1,0,3,19,0,2020-2-18
Pozole,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
Pozole,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
Pozole,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
Pozole,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
Pozole,0,0,0,0,0,0,0,0,0,3,0,3,23,0,2020-2-20
Pozole,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
Pozole,0,0,0,0,0,0,0,0,0,4,0,2,18,0,2020-2-14
Pozole,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2020-2-15
Pozole,0,0,0,0,0,0,0,0,0,6,0,2,10,0,2020-2-9
Pozole,0,0,0,0,0,0,0,0,0,5,1,2,20,0,2020-2-8
Pozole,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
Pozole,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
Pozole,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
Pozole,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2020-2-11
Pozole,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2020-2-24
Pozole,0,0,0,0,0,0,0,0,0,1,0,4,25,0,2020-2-25
Pozole,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-2-7
Pozole,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
Pozole,0,0,0,0,0,0,0,0,0,5,1,1,24,0,2020-2-1
Pozole,0,0,0,0,0,0,0,0,0,0,0,3,19,0,2020-2-17
Pozole,1.0,0.0,10.95,0.0,-0.0,10.95,0.37,10.95,0.0,6,0,3,20,10.95,2020-2-16
Pozole,0,0,0,0,0,0,0,0,0,5,1,5,19,0,2020-2-29
Pozole,2.0,0.0,21.9,0.0,-0.0,21.9,0.79,10.95,0.0,4,0,4,23,21.9,2020-2-28
Pozole,0,0,0,0,0,0,0,0,0,6,0,4,14,0,2020-2-23
Pozole,3.0,0.0,32.85,0.0,-0.0,32.85,2.35,10.95,0.0,5,1,4,14,32.85,2020-2-22
Pozole,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-1-3
Pozole,0,0,0,0,0,0,0,0,0,3,0,1,17,0,2020-1-2
Pozole,1.0,0.0,10.95,0.0,-0.0,10.95,1.63,10.95,0.0,3,0,2,11,10.95,2020-1-9
Pozole,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-1-8
Pozole,0,0,0,0,0,0,0,0,0,1,0,2,15,0,2020-1-14
Pozole,0,0,0,0,0,0,0,0,0,2,0,3,15,0,2020-1-15
Pozole,0,0,0,0,0,0,0,0,0,0,0,3,17,0,2020-1-20
Pozole,2.0,0.0,21.9,0.0,-0.0,21.9,4.3,10.95,0.0,1,0,3,11,21.9,2020-1-21
