Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Queso Fundido,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
HH Queso Fundido,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Queso Fundido,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
HH Queso Fundido,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Queso Fundido,1.0,0.0,9.95,-2.99,-0.0,6.96,0.25,6.96,0.0,3,0,1,27,6.96,2019-10-3
HH Queso Fundido,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Queso Fundido,1.0,0.0,9.95,-2.99,-0.0,6.96,0.33,6.96,0.0,4,0,1,26,6.96,2019-10-4
HH Queso Fundido,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Queso Fundido,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
HH Queso Fundido,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Queso Fundido,1.0,0.0,9.95,0.0,-0.0,9.95,0.43,9.95,0.0,6,0,1,32,9.95,2019-10-6
HH Queso Fundido,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Queso Fundido,1.0,0.0,9.95,-2.99,-0.0,6.96,2.27,6.96,0.0,0,0,1,32,6.96,2019-10-7
HH Queso Fundido,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Queso Fundido,1.0,0.0,9.95,-2.99,-0.0,6.96,1.44,6.96,0.0,1,0,2,29,6.96,2019-10-8
HH Queso Fundido,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Queso Fundido,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
HH Queso Fundido,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Queso Fundido,1.0,0.0,9.95,-2.99,-0.0,6.96,0.28,6.96,0.0,3,0,2,24,6.96,2019-10-10
HH Queso Fundido,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Queso Fundido,1.0,0.0,9.95,0.0,-0.0,9.95,0.53,9.95,0.0,4,0,2,27,9.95,2019-10-11
HH Queso Fundido,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Queso Fundido,3.0,0.0,29.85,-9.95,-0.0,19.9,1.1,6.63,0.0,5,1,2,28,19.9,2019-10-12
HH Queso Fundido,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Queso Fundido,2.0,0.0,19.9,0.0,-0.0,19.9,0.69,9.95,0.0,6,0,2,26,19.9,2019-10-13
HH Queso Fundido,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Queso Fundido,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
HH Queso Fundido,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Queso Fundido,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
HH Queso Fundido,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Queso Fundido,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
HH Queso Fundido,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
