Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Side Spicy Salsa,2.0,0.0,3.0,0.0,-0.0,3.0,0.4,1.5,0.0,1,0,1,21,3.0,2019-10-1
Large Salsa,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Side House Salsa,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Salsa,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Med Salsa,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Large Salsa,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Side House Salsa,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Salsa,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Med Salsa,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Large Salsa,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Side House Salsa,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Salsa,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Med Salsa,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Side Spicy Salsa,1.0,0.0,1.5,0.0,-0.0,1.5,0.14,1.5,0.0,1,0,5,21,1.5,2019-10-29
Large Salsa,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Side House Salsa,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Salsa,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Med Salsa,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Large Salsa,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Side House Salsa,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Salsa,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Med Salsa,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Large Salsa,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Side House Salsa,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Salsa,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Med Salsa,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Large Salsa,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Side House Salsa,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Salsa,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Med Salsa,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Side Spicy Salsa,1.0,0.0,1.5,-1.5,-0.0,0.0,0.0,0.0,0.0,3,0,4,31,0.0,2019-10-24
Large Salsa,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Side House Salsa,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Salsa,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Med Salsa,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Large Salsa,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Side House Salsa,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Salsa,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Med Salsa,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Large Salsa,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Side House Salsa,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Salsa,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Med Salsa,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Large Salsa,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Side House Salsa,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Salsa,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Med Salsa,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Side House Salsa,1.0,0.0,1.5,-1.5,-0.0,0.0,0.0,0.0,0.0,0,0,1,32,0.0,2019-10-7
Large Salsa,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Salsa,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Med Salsa,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Large Salsa,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Side House Salsa,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Salsa,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Med Salsa,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Large Salsa,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Side House Salsa,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Salsa,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Med Salsa,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Large Salsa,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Side House Salsa,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Salsa,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Side Spicy Salsa,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Med Salsa,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Large Salsa,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Side House Salsa,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
