Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Shred Chicken Burrito,1.0,0.0,11.95,0.0,-0.0,11.95,0.66,11.95,0.0,5,1,2,28,11.95,2019-10-12
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Shred Chicken Burrito,3.0,0.0,43.85,0.0,-0.0,43.85,2.87,14.62,0.0,5,1,3,26,43.85,2019-10-19
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Shred Chicken Burrito,1.0,0.0,13.95,0.0,-0.0,13.95,0.4,13.95,0.0,6,0,4,22,13.95,2019-10-27
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Shred Chicken Burrito,1.0,0.0,11.95,0.0,-0.0,11.95,1.14,11.95,0.0,1,0,5,21,11.95,2019-10-29
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Shred Chicken Burrito,1.0,0.0,13.95,0.0,-0.0,13.95,1.76,13.95,0.0,3,0,5,20,13.95,2019-10-31
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Shred Chicken Burrito,1.0,0.0,13.95,0.0,-0.0,13.95,2.62,13.95,0.0,0,0,1,17,13.95,2019-12-2
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Shred Chicken Burrito,1.0,0.0,13.95,0.0,-0.0,13.95,1.84,13.95,0.0,3,0,2,19,13.95,2019-12-12
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Shred Chicken Burrito,1.0,0.0,11.95,0.0,-0.0,11.95,0.53,11.95,0.0,5,1,2,15,11.95,2019-12-14
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
Shred Chicken Burrito,1.0,0.0,13.95,0.0,-0.0,13.95,1.26,13.95,0.0,0,0,4,9,13.95,2019-12-23
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Shred Chicken Burrito,1.0,0.0,11.95,-11.95,-0.0,0.0,0.0,0.0,0.0,4,0,4,11,0.0,2019-12-27
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,5,1,1,24,0,2020-2-1
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
Shred Chicken Burrito,1.0,0.0,13.95,0.0,-0.0,13.95,3.39,13.95,0.0,0,0,1,11,13.95,2020-2-3
Shred Chicken Burrito,1.0,0.0,13.95,0.0,-0.0,13.95,2.25,13.95,0.0,1,0,1,9,13.95,2020-2-4
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
Shred Chicken Burrito,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
Shred Chicken Burrito,1.0,0.0,13.95,0.0,-0.0,13.95,0.7,13.95,0.0,4,0,1,19,13.95,2020-2-7
