Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Shrimp Burrito,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Shrimp Burrito,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Shrimp Burrito,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Shrimp Burrito,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Shrimp Burrito,2.0,0.0,32.9,0.0,-0.0,32.9,4.19,16.45,0.0,5,1,1,30,32.9,2019-10-5
Shrimp Burrito,1.0,0.0,18.95,0.0,-0.0,18.95,0.82,18.95,0.0,6,0,1,32,18.95,2019-10-6
Shrimp Burrito,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Shrimp Burrito,1.0,0.0,16.95,0.0,-0.0,16.95,3.5,16.95,0.0,1,0,2,29,16.95,2019-10-8
Shrimp Burrito,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Shrimp Burrito,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Shrimp Burrito,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Shrimp Burrito,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Shrimp Burrito,1.0,0.0,14.95,0.0,-0.0,14.95,0.52,14.95,0.0,6,0,2,26,14.95,2019-10-13
Shrimp Burrito,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Shrimp Burrito,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Shrimp Burrito,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Shrimp Burrito,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Shrimp Burrito,1.0,0.0,14.95,0.0,-0.0,14.95,1.22,14.95,0.0,4,0,3,23,14.95,2019-10-18
Shrimp Burrito,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
