Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Shrimp Enchilada Plate,3.0,0.0,44.85,0.0,-0.0,44.85,2.4,14.95,0.0,4,0,2,27,44.85,2019-10-11
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Shrimp Enchilada Plate,1.0,0.0,14.95,0.0,-0.0,14.95,2.14,14.95,0.0,1,0,3,29,14.95,2019-10-15
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Shrimp Enchilada Plate,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Shrimp Enchilada Plate,3.0,0.0,44.85,0.0,-0.0,44.85,3.66,14.95,0.0,4,0,3,23,44.85,2019-10-18
Shrimp Enchilada Plate,1.0,0.0,14.95,0.0,-0.0,14.95,0.98,14.95,0.0,5,1,3,26,14.95,2019-10-19
