Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Shrimp Enchiladas,1.0,0.0,14.95,0.0,-0.0,14.95,1.91,14.95,0.0,5,1,1,30,14.95,2019-10-5
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Shrimp Enchiladas,1.0,0.0,14.95,0.0,-0.0,14.95,0.28,14.95,0.0,2,0,2,25,14.95,2019-10-9
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
S Shrimp Enchiladas,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
