Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Small Alb. Soup,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Small Alb. Soup,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Small Alb. Soup,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Small Alb. Soup,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Small Alb. Soup,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Small Alb. Soup,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Small Alb. Soup,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Small Alb. Soup,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Small Alb. Soup,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Small Alb. Soup,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Small Alb. Soup,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Small Alb. Soup,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Small Alb. Soup,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Small Alb. Soup,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Small Alb. Soup,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Small Alb. Soup,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Small Alb. Soup,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Small Alb. Soup,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Small Alb. Soup,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Small Alb. Soup,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Small Alb. Soup,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Small Alb. Soup,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Small Alb. Soup,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Small Alb. Soup,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Small Alb. Soup,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Small Alb. Soup,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Small Alb. Soup,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Small Alb. Soup,1.0,0.0,4.5,0.0,-0.0,4.5,0.13,4.5,0.0,6,0,4,22,4.5,2019-10-27
Small Alb. Soup,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Small Alb. Soup,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Small Alb. Soup,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Small Alb. Soup,1.0,0.0,4.5,0.0,-0.0,4.5,1.31,4.5,0.0,3,0,1,15,4.5,2019-12-5
Small Alb. Soup,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Small Alb. Soup,1.0,0.0,4.5,0.0,-0.0,4.5,0.08,4.5,0.0,1,0,5,15,4.5,2019-12-31
Small Alb. Soup,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Small Alb. Soup,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Small Alb. Soup,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Small Alb. Soup,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Small Alb. Soup,1.0,0.0,4.5,0.0,-0.0,4.5,0.38,4.5,0.0,4,0,4,11,4.5,2019-12-27
Small Alb. Soup,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Small Alb. Soup,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Small Alb. Soup,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Small Alb. Soup,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Small Alb. Soup,2.0,0.0,9.0,0.0,-0.0,9.0,0.6,4.5,0.0,5,1,3,18,9.0,2019-12-21
Small Alb. Soup,1.0,0.0,4.5,0.0,-0.0,4.5,0.18,4.5,0.0,4,0,3,17,4.5,2019-12-20
Small Alb. Soup,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Small Alb. Soup,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Small Alb. Soup,1.0,0.0,4.5,0.0,-0.0,4.5,0.12,4.5,0.0,6,0,2,15,4.5,2019-12-8
Small Alb. Soup,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Small Alb. Soup,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Small Alb. Soup,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
