Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Soft Drink,20.0,0.0,65.0,0.0,-0.0,65.0,8.57,3.25,0.0,1,0,1,21,65.0,2019-10-1
Soft Drink,4.0,0.0,13.0,0.0,-0.0,13.0,1.54,3.25,0.0,2,0,1,27,13.0,2019-10-2
Soft Drink,16.0,0.0,52.0,0.0,-0.0,52.0,1.85,3.25,0.0,3,0,1,27,52.0,2019-10-3
Soft Drink,23.0,0.0,74.75,0.0,-0.0,74.75,3.54,3.25,0.0,4,0,1,26,74.75,2019-10-4
Soft Drink,9.0,0.0,29.25,0.0,-0.0,29.25,3.73,3.25,0.0,5,1,1,30,29.25,2019-10-5
Soft Drink,26.0,0.0,84.5,0.0,-0.0,84.5,3.67,3.25,0.0,6,0,1,32,84.5,2019-10-6
Soft Drink,1.0,0.0,3.25,0.0,-0.0,3.25,1.06,3.25,0.0,0,0,1,32,3.25,2019-10-7
Soft Drink,8.0,0.0,26.0,0.0,-0.0,26.0,5.37,3.25,0.0,1,0,2,29,26.0,2019-10-8
Soft Drink,1.0,0.0,3.25,0.0,-0.0,3.25,0.06,3.25,0.0,2,0,2,25,3.25,2019-10-9
Soft Drink,3.0,0.0,9.75,0.0,-0.0,9.75,0.39,3.25,0.0,3,0,2,24,9.75,2019-10-10
Soft Drink,23.0,0.0,74.75,0.0,-0.0,74.75,4.0,3.25,0.0,4,0,2,27,74.75,2019-10-11
Soft Drink,24.0,0.0,78.0,0.0,-0.0,78.0,4.29,3.25,0.0,5,1,2,28,78.0,2019-10-12
Soft Drink,25.0,0.0,81.25,0.0,-0.0,81.25,2.82,3.25,0.0,6,0,2,26,81.25,2019-10-13
Soft Drink,6.0,0.0,19.5,0.0,-0.0,19.5,2.78,3.25,0.0,0,0,2,22,19.5,2019-10-14
Soft Drink,10.0,0.0,32.5,0.0,-0.0,32.5,4.65,3.25,0.0,1,0,3,29,32.5,2019-10-15
Soft Drink,2.0,0.0,6.5,0.0,-0.0,6.5,2.22,3.25,0.0,2,0,3,29,6.5,2019-10-16
Soft Drink,10.0,0.0,32.5,0.0,-0.0,32.5,1.31,3.25,0.0,3,0,3,25,32.5,2019-10-17
Soft Drink,10.0,0.0,32.5,0.0,-0.0,32.5,2.65,3.25,0.0,4,0,3,23,32.5,2019-10-18
Soft Drink,40.0,0.0,130.0,0.0,-0.0,130.0,8.51,3.25,0.0,5,1,3,26,130.0,2019-10-19
Soft Drink,30.0,0.0,97.5,-1.47,-0.0,96.03,2.79,3.2,0.0,6,0,3,27,96.03,2019-10-20
Soft Drink,8.0,0.0,26.0,0.0,-0.0,26.0,3.68,3.25,0.0,0,0,3,31,26.0,2019-10-21
Soft Drink,7.0,0.0,22.75,0.0,-0.0,22.75,2.12,3.25,0.0,1,0,4,32,22.75,2019-10-22
Soft Drink,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Soft Drink,3.0,0.0,9.75,0.0,-0.0,9.75,1.12,3.25,0.0,3,0,4,31,9.75,2019-10-24
Soft Drink,11.0,0.0,35.75,0.0,-0.0,35.75,3.07,3.25,0.0,4,0,4,31,35.75,2019-10-25
Soft Drink,27.0,0.0,87.75,-0.65,-0.0,87.1,4.89,3.23,0.0,5,1,4,30,87.1,2019-10-26
Soft Drink,34.0,0.0,110.5,-0.65,-0.0,109.85,3.14,3.23,0.0,6,0,4,22,109.85,2019-10-27
Soft Drink,5.0,0.0,16.25,0.0,-0.0,16.25,2.99,3.25,0.0,0,0,4,20,16.25,2019-10-28
Soft Drink,13.0,0.0,42.25,0.0,-0.0,42.25,4.02,3.25,0.0,1,0,5,21,42.25,2019-10-29
Soft Drink,3.0,0.0,9.75,0.0,-0.0,9.75,1.84,3.25,0.0,2,0,5,18,9.75,2019-10-30
Soft Drink,14.0,0.0,45.5,0.0,-0.0,45.5,5.74,3.25,0.0,3,0,5,20,45.5,2019-10-31
Soft Drink,10.0,0.0,32.5,0.0,-0.0,32.5,1.24,3.25,0.0,6,0,1,14,32.5,2019-12-1
Soft Drink,1.0,0.0,3.25,0.0,-0.0,3.25,0.61,3.25,0.0,0,0,1,17,3.25,2019-12-2
Soft Drink,9.0,0.0,29.25,0.0,-0.0,29.25,3.93,3.25,0.0,1,0,1,18,29.25,2019-12-3
Soft Drink,3.0,0.0,9.75,0.0,-0.0,9.75,2.38,3.25,0.0,2,0,1,11,9.75,2019-12-4
Soft Drink,5.0,0.0,16.25,0.0,-0.0,16.25,4.72,3.25,0.0,3,0,1,15,16.25,2019-12-5
Soft Drink,12.0,0.0,39.0,-0.32,-0.0,38.68,2.11,3.22,0.0,4,0,1,18,38.68,2019-12-6
Soft Drink,18.0,0.0,58.5,0.0,-0.0,58.5,1.9,3.25,0.0,5,1,1,16,58.5,2019-12-7
