Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.2,1.5,0.0,1,0,1,21,1.5,2019-10-1
Sour Cream,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.14,1.5,0.0,1,0,4,32,1.5,2019-10-22
Sour Cream,2.0,0.0,3.0,0.0,-0.0,3.0,0.29,1.5,0.0,1,0,5,21,3.0,2019-10-29
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.28,1.5,0.0,0,0,4,20,1.5,2019-10-28
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.06,1.5,0.0,3,0,3,25,1.5,2019-10-17
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.51,1.5,0.0,2,0,3,29,1.5,2019-10-16
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.17,1.5,0.0,3,0,4,31,1.5,2019-10-24
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.13,1.5,0.0,4,0,4,31,1.5,2019-10-25
Sour Cream,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.08,1.5,0.0,4,0,2,27,1.5,2019-10-11
Sour Cream,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Sour Cream,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Sour Cream,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Sour Cream,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.04,1.5,0.0,6,0,3,27,1.5,2019-10-20
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.21,1.5,0.0,0,0,3,31,1.5,2019-10-21
Sour Cream,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Sour Cream,3.0,0.0,4.5,0.0,-0.0,4.5,0.53,1.5,0.0,2,0,1,27,4.5,2019-10-2
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.03,1.5,0.0,2,0,2,25,1.5,2019-10-9
Sour Cream,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Sour Cream,3.0,0.0,4.5,-0.06,-0.0,4.44,0.21,1.48,0.0,4,0,1,26,4.44,2019-10-4
Sour Cream,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Sour Cream,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Sour Cream,2.0,0.0,3.0,0.0,-0.0,3.0,0.38,1.5,0.0,3,0,5,20,3.0,2019-10-31
Sour Cream,2.0,0.0,3.0,0.0,-0.0,3.0,0.1,1.5,0.0,6,0,2,26,3.0,2019-10-13
Sour Cream,3.0,0.0,4.5,0.0,-0.0,4.5,0.25,1.5,0.0,5,1,2,28,4.5,2019-10-12
Sour Cream,3.0,0.0,4.5,-0.15,-0.0,4.35,0.12,1.45,0.0,6,0,4,22,4.35,2019-10-27
Sour Cream,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Sour Cream,4.0,0.0,6.0,0.0,-0.0,6.0,0.39,1.5,0.0,5,1,3,26,6.0,2019-10-19
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.12,1.5,0.0,4,0,3,23,1.5,2019-10-18
Sour Cream,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Sour Cream,1.0,0.0,1.5,0.0,-0.0,1.5,0.37,1.5,0.0,2,0,1,11,1.5,2019-12-4
Sour Cream,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Sour Cream,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Sour Cream,1.0,0.0,1.5,-1.5,-0.0,0.0,0.0,0.0,0.0,3,0,2,19,0.0,2019-12-12
