Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,0.94,19.95,0.0,4,0,1,26,19.95,2019-10-4
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Steak Tampiqueno,3.0,0.0,59.85,0.0,-0.0,59.85,3.2,19.95,0.0,4,0,2,27,59.85,2019-10-11
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.1,19.95,0.0,5,1,2,28,19.95,2019-10-12
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,2.85,19.95,0.0,0,0,2,22,19.95,2019-10-14
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,2.85,19.95,0.0,1,0,3,29,19.95,2019-10-15
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,0.58,19.95,0.0,6,0,3,27,19.95,2019-10-20
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Steak Tampiqueno,1.0,0.0,19.95,-1.99,-0.0,17.96,1.01,17.96,0.0,5,1,4,30,17.96,2019-10-26
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,0.76,19.95,0.0,6,0,1,14,19.95,2019-12-1
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Steak Tampiqueno,2.0,0.0,39.9,0.0,-0.0,39.9,5.37,19.95,0.0,1,0,1,18,39.9,2019-12-3
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Steak Tampiqueno,2.0,0.0,39.9,0.0,-0.0,39.9,1.3,19.95,0.0,5,1,1,16,39.9,2019-12-7
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,0.89,19.95,0.0,5,1,2,15,19.95,2019-12-14
Steak Tampiqueno,2.0,0.0,39.9,0.0,-0.0,39.9,2.04,19.95,0.0,6,0,3,14,39.9,2019-12-15
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,4.14,19.95,0.0,1,0,3,12,19.95,2019-12-17
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,0.81,19.95,0.0,4,0,3,17,19.95,2019-12-20
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.32,19.95,0.0,5,1,3,18,19.95,2019-12-21
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,0.62,19.95,0.0,6,0,4,17,19.95,2019-12-22
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.8,19.95,0.0,0,0,4,9,19.95,2019-12-23
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.16,19.95,0.0,5,1,4,13,19.95,2019-12-28
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Steak Tampiqueno,2.0,0.0,39.9,0.0,-0.0,39.9,2.01,19.95,0.0,5,1,1,24,39.9,2020-2-1
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
Steak Tampiqueno,2.0,0.0,39.9,0.0,-0.0,39.9,5.32,19.95,0.0,3,0,1,14,39.9,2020-2-6
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.0,19.95,0.0,4,0,1,19,19.95,2020-2-7
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,5,1,2,20,0,2020-2-8
Steak Tampiqueno,2.0,0.0,39.9,0.0,-0.0,39.9,1.13,19.95,0.0,6,0,2,10,39.9,2020-2-9
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
Steak Tampiqueno,2.0,0.0,39.9,0.0,-0.0,39.9,6.59,19.95,0.0,1,0,2,16,39.9,2020-2-11
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,2.19,19.95,0.0,3,0,2,17,19.95,2020-2-13
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,0.38,19.95,0.0,4,0,2,18,19.95,2020-2-14
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2020-2-15
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,0.67,19.95,0.0,6,0,3,20,19.95,2020-2-16
Steak Tampiqueno,2.0,0.0,39.9,0.0,-0.0,39.9,4.89,19.95,0.0,0,0,3,19,39.9,2020-2-17
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,3,19,0,2020-2-18
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,2.02,19.95,0.0,3,0,3,23,19.95,2020-2-20
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,5,1,4,14,0,2020-2-22
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,4,14,0,2020-2-23
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,3.71,19.95,0.0,0,0,4,20,19.95,2020-2-24
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,4,25,0,2020-2-25
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,4,23,0,2020-2-28
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.46,19.95,0.0,5,1,5,19,19.95,2020-2-29
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,1,16,0,2020-1-1
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,1,17,0,2020-1-2
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,2.48,19.95,0.0,4,0,1,19,19.95,2020-1-3
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.65,19.95,0.0,5,1,1,18,19.95,2020-1-4
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,1,17,0,2020-1-5
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,1,19,0,2020-1-6
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,1,19,0,2020-1-7
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-1-8
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,2,11,0,2020-1-9
Steak Tampiqueno,2.0,0.0,39.9,0.0,-0.0,39.9,1.49,19.95,0.0,4,0,2,15,39.9,2020-1-10
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,5,1,2,16,0,2020-1-11
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,0.68,19.95,0.0,6,0,2,15,19.95,2020-1-12
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,3.35,19.95,0.0,0,0,2,13,19.95,2020-1-13
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,2,15,0,2020-1-14
Steak Tampiqueno,2.0,0.0,39.9,0.0,-0.0,39.9,7.1,19.95,0.0,2,0,3,15,39.9,2020-1-15
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,3,14,0,2020-1-16
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,3,12,0,2020-1-17
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,5,1,3,17,0,2020-1-18
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,3,19,0,2020-1-19
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,3,17,0,2020-1-20
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,3,11,0,2020-1-21
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,3.14,19.95,0.0,2,0,4,14,19.95,2020-1-22
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,4,19,0,2020-1-23
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,4,21,0,2020-1-24
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,5,1,4,22,0,2020-1-25
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,0.68,19.95,0.0,6,0,4,19,19.95,2020-1-26
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,4,19,0,2020-1-27
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,4,21,0,2020-1-28
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,5,17,0,2020-1-29
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,5,18,0,2020-1-30
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,5,21,0,2020-1-31
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.12,19.95,0.0,4,0,1,24,19.95,2019-11-1
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,5,1,1,26,0,2019-11-2
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,1,27,0,2019-11-3
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,1,26,0,2019-11-4
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,1,28,0,2019-11-5
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-11-6
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-11-7
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,2,29,0,2019-11-8
Steak Tampiqueno,3.0,0.0,59.85,0.0,-0.0,59.85,1.23,19.95,0.0,5,1,2,29,59.85,2019-11-9
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,2,27,0,2019-11-10
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,2,26,0,2019-11-11
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,2,28,0,2019-11-12
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-11-13
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,2,23,0,2019-11-14
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.18,19.95,0.0,4,0,3,21,19.95,2019-11-15
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,5,1,3,27,0,2019-11-16
Steak Tampiqueno,2.0,0.0,39.9,0.0,-0.0,39.9,1.38,19.95,0.0,6,0,3,28,39.9,2019-11-17
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,3,28,0,2019-11-18
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,3,24,0,2019-11-19
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-11-20
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,3,14,0,2019-11-21
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.27,19.95,0.0,4,0,4,17,19.95,2019-11-22
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.49,19.95,0.0,5,1,4,18,19.95,2019-11-23
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,6,0,4,20,0,2019-11-24
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,0,0,4,18,0,2019-11-25
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,1,0,4,15,0,2019-11-26
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,2,0,4,11,0,2019-11-27
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,3,0,4,8,0,2019-11-28
Steak Tampiqueno,0,0,0,0,0,0,0,0,0,4,0,5,9,0,2019-11-29
Steak Tampiqueno,1.0,0.0,19.95,0.0,-0.0,19.95,1.78,19.95,0.0,5,1,5,11,19.95,2019-11-30
