Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Sunday Brunch (Adult),71.0,0.0,1416.45,0.0,-0.0,1416.45,61.54,19.95,0.0,6,0,1,32,1416.45,2019-10-6
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Sunday Brunch (Adult),68.0,0.0,1356.6,-13.96,-0.0,1342.64,46.64,19.74,0.0,6,0,2,26,1342.64,2019-10-13
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Sunday Brunch (Adult),93.0,1.0,1855.35,0.0,-19.95,1835.4,53.33,19.95,0.0,6,0,3,27,1835.4,2019-10-20
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Sunday Brunch (Adult),82.0,0.0,1635.9,0.0,-0.0,1635.9,46.79,19.95,0.0,6,0,4,22,1635.9,2019-10-27
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Sunday Brunch (Adult),0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
