Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Sunday Brunch (Kids),14.0,0.0,139.3,0.0,-0.0,139.3,6.05,9.95,0.0,6,0,1,32,139.3,2019-10-6
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Sunday Brunch (Kids),15.0,0.0,149.25,0.0,-0.0,149.25,5.19,9.95,0.0,6,0,2,26,149.25,2019-10-13
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Sunday Brunch (Kids),18.0,0.0,179.1,0.0,-0.0,179.1,5.2,9.95,0.0,6,0,3,27,179.1,2019-10-20
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Sunday Brunch (Kids),12.0,0.0,119.4,0.0,-0.0,119.4,3.41,9.95,0.0,6,0,4,22,119.4,2019-10-27
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Sunday Brunch (Kids),0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
