Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Taco A La Carte,1.0,0.0,3.5,0.0,-0.0,3.5,0.46,3.5,0.0,1,0,1,21,0.0,2019-10-1
Taco A La Carte,14.0,0.0,43.75,0.0,-0.0,43.75,5.19,3.13,0.0,2,0,1,27,0.0,2019-10-2
Taco A La Carte,1.0,0.0,2.75,0.0,-0.0,2.75,0.1,2.75,0.0,3,0,1,27,0.0,2019-10-3
Taco A La Carte,3.0,0.0,8.5,0.0,-0.0,8.5,0.4,2.83,0.0,4,0,1,26,0.0,2019-10-4
Taco A La Carte,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Taco A La Carte,5.0,0.0,16.25,0.0,-0.0,16.25,0.71,3.25,0.0,6,0,1,32,0.0,2019-10-6
Taco A La Carte,1.0,0.0,3.25,0.0,-0.0,3.25,1.06,3.25,0.0,0,0,1,32,0.0,2019-10-7
Taco A La Carte,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Taco A La Carte,2.0,0.0,7.0,0.0,-0.0,7.0,0.13,3.5,0.0,2,0,2,25,0.0,2019-10-9
Taco A La Carte,1.0,0.0,3.0,0.0,-0.0,3.0,0.12,3.0,0.0,3,0,2,24,0.0,2019-10-10
Taco A La Carte,7.0,0.0,19.0,0.0,-0.0,19.0,1.02,2.71,0.0,4,0,2,27,0.0,2019-10-11
Taco A La Carte,3.0,0.0,9.5,-7.0,-0.0,2.5,0.14,0.83,0.0,5,1,2,28,0.0,2019-10-12
Taco A La Carte,3.0,0.0,9.25,0.0,-0.0,9.25,0.32,3.08,0.0,6,0,2,26,0.0,2019-10-13
Taco A La Carte,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Taco A La Carte,2.0,0.0,5.0,0.0,-0.0,5.0,0.71,2.5,0.0,1,0,3,29,0.0,2019-10-15
