Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Taco Salad,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Taco Salad,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Taco Salad,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Taco Salad,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Taco Salad,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Taco Salad,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Taco Salad,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Taco Salad,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Taco Salad,2.0,0.0,27.9,0.0,-0.0,27.9,2.4,13.95,0.0,4,0,4,31,27.9,2019-10-25
Taco Salad,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Taco Salad,1.0,0.0,13.95,0.0,-0.0,13.95,0.75,13.95,0.0,4,0,2,27,13.95,2019-10-11
Taco Salad,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Taco Salad,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Taco Salad,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Taco Salad,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Taco Salad,2.0,0.0,27.9,0.0,-0.0,27.9,0.81,13.95,0.0,6,0,3,27,27.9,2019-10-20
Taco Salad,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Taco Salad,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Taco Salad,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Taco Salad,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Taco Salad,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Taco Salad,1.0,0.0,13.95,0.0,-0.0,13.95,0.66,13.95,0.0,4,0,1,26,13.95,2019-10-4
Taco Salad,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Taco Salad,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Taco Salad,1.0,0.0,13.95,0.0,-0.0,13.95,1.76,13.95,0.0,3,0,5,20,13.95,2019-10-31
Taco Salad,1.0,0.0,13.95,0.0,-0.0,13.95,0.48,13.95,0.0,6,0,2,26,13.95,2019-10-13
Taco Salad,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Taco Salad,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Taco Salad,1.0,0.0,13.95,0.0,-0.0,13.95,0.78,13.95,0.0,5,1,4,30,13.95,2019-10-26
Taco Salad,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Taco Salad,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Taco Salad,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Taco Salad,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Taco Salad,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Taco Salad,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Taco Salad,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Taco Salad,1.0,0.0,13.95,0.0,-0.0,13.95,1.18,13.95,0.0,4,0,2,22,13.95,2019-12-13
Taco Salad,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Taco Salad,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Taco Salad,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Taco Salad,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Taco Salad,1.0,0.0,13.95,0.0,-0.0,13.95,0.71,13.95,0.0,6,0,3,14,13.95,2019-12-15
Taco Salad,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Taco Salad,2.0,0.0,27.9,0.0,-0.0,27.9,1.85,13.95,0.0,5,1,3,18,27.9,2019-12-21
Taco Salad,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Taco Salad,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Taco Salad,1.0,0.0,13.95,0.0,-0.0,13.95,1.88,13.95,0.0,1,0,1,18,13.95,2019-12-3
Taco Salad,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Taco Salad,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Taco Salad,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Taco Salad,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Taco Salad,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Taco Salad,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Taco Salad,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Taco Salad,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
