Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Taco Tuesday,25.0,0.0,125.0,0.0,-0.0,125.0,16.48,5.0,0.0,1,0,1,21,125.0,2019-10-1
Taco Tuesday,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Taco Tuesday,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Taco Tuesday,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Taco Tuesday,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Taco Tuesday,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Taco Tuesday,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Taco Tuesday,9.0,0.0,45.0,0.0,-0.0,45.0,9.29,5.0,0.0,1,0,2,29,45.0,2019-10-8
Taco Tuesday,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Taco Tuesday,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Taco Tuesday,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Taco Tuesday,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Taco Tuesday,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Taco Tuesday,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Taco Tuesday,14.0,0.0,70.0,0.0,-0.0,70.0,10.01,5.0,0.0,1,0,3,29,70.0,2019-10-15
Taco Tuesday,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Taco Tuesday,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Taco Tuesday,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Taco Tuesday,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Taco Tuesday,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Taco Tuesday,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Taco Tuesday,11.0,0.0,55.0,0.0,-0.0,55.0,5.13,5.0,0.0,1,0,4,32,55.0,2019-10-22
Taco Tuesday,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Taco Tuesday,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Taco Tuesday,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
