Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Taquito A La Carte,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Taquito A La Carte,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Taquito A La Carte,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Taquito A La Carte,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Taquito A La Carte,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Taquito A La Carte,4.0,0.0,8.0,0.0,-0.0,8.0,0.32,2.0,0.0,3,0,3,25,0.0,2019-10-17
Taquito A La Carte,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Taquito A La Carte,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Taquito A La Carte,3.0,0.0,6.0,0.0,-0.0,6.0,0.52,2.0,0.0,4,0,4,31,0.0,2019-10-25
Taquito A La Carte,3.0,0.0,6.0,-2.52,-0.0,3.48,0.14,1.16,0.0,3,0,2,24,0.0,2019-10-10
Taquito A La Carte,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Taquito A La Carte,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Taquito A La Carte,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Taquito A La Carte,4.0,0.0,8.0,0.0,-0.0,8.0,1.14,2.0,0.0,0,0,2,22,0.0,2019-10-14
Taquito A La Carte,2.0,0.0,4.0,0.0,-0.0,4.0,0.57,2.0,0.0,1,0,3,29,0.0,2019-10-15
Taquito A La Carte,1.0,0.0,2.0,0.0,-0.0,2.0,0.06,2.0,0.0,6,0,3,27,0.0,2019-10-20
Taquito A La Carte,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Taquito A La Carte,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Taquito A La Carte,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Taquito A La Carte,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Taquito A La Carte,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Taquito A La Carte,3.0,0.0,6.0,0.0,-0.0,6.0,0.28,2.0,0.0,4,0,1,26,0.0,2019-10-4
Taquito A La Carte,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Taquito A La Carte,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Taquito A La Carte,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Taquito A La Carte,1.0,0.0,2.0,0.0,-0.0,2.0,0.07,2.0,0.0,6,0,2,26,0.0,2019-10-13
Taquito A La Carte,7.0,0.0,14.0,0.0,-0.0,14.0,0.77,2.0,0.0,5,1,2,28,0.0,2019-10-12
Taquito A La Carte,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Taquito A La Carte,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Taquito A La Carte,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Taquito A La Carte,5.0,0.0,10.0,0.0,-0.0,10.0,0.82,2.0,0.0,4,0,3,23,0.0,2019-10-18
Taquito A La Carte,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Taquito A La Carte,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Taquito A La Carte,1.0,0.0,2.0,0.0,-0.0,2.0,0.04,2.0,0.0,1,0,5,15,0.0,2019-12-31
Taquito A La Carte,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Taquito A La Carte,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Taquito A La Carte,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Taquito A La Carte,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Taquito A La Carte,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Taquito A La Carte,2.0,0.0,4.0,0.0,-0.0,4.0,0.57,2.0,0.0,2,0,3,12,0.0,2019-12-18
Taquito A La Carte,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Taquito A La Carte,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Taquito A La Carte,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Taquito A La Carte,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Taquito A La Carte,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Taquito A La Carte,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Taquito A La Carte,1.0,0.0,2.0,0.0,-0.0,2.0,0.27,2.0,0.0,1,0,1,18,0.0,2019-12-3
Taquito A La Carte,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Taquito A La Carte,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Taquito A La Carte,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Taquito A La Carte,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Taquito A La Carte,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Taquito A La Carte,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Taquito A La Carte,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Taquito A La Carte,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
Taquito A La Carte,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Taquito A La Carte,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
Taquito A La Carte,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
Taquito A La Carte,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
Taquito A La Carte,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Taquito A La Carte,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Taquito A La Carte,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Taquito A La Carte,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
