Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Tea,3.0,0.0,8.25,0.0,-0.0,8.25,1.09,2.75,0.0,1,0,1,21,8.25,2019-10-1
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Tea,2.0,0.0,5.5,0.0,-0.0,5.5,0.65,2.75,0.0,2,0,1,27,5.5,2019-10-2
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Tea,1.0,0.0,2.75,0.0,-0.0,2.75,0.1,2.75,0.0,3,0,1,27,2.75,2019-10-3
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Tea,1.0,0.0,2.75,0.0,-0.0,2.75,0.13,2.75,0.0,4,0,1,26,2.75,2019-10-4
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Tea,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Tea,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Tea,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Tea,1.0,0.0,2.75,0.0,-0.0,2.75,0.57,2.75,0.0,1,0,2,29,2.75,2019-10-8
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Tea,1.0,0.0,2.75,0.0,-0.0,2.75,0.05,2.75,0.0,2,0,2,25,2.75,2019-10-9
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Tea,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Tea,3.0,0.0,8.25,0.0,-0.0,8.25,0.44,2.75,0.0,4,0,2,27,8.25,2019-10-11
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Tea,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Tea,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Tea,2.0,0.0,5.5,0.0,-0.0,5.5,0.79,2.75,0.0,0,0,2,22,5.5,2019-10-14
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Tea,2.0,0.0,5.5,0.0,-0.0,5.5,0.79,2.75,0.0,1,0,3,29,5.5,2019-10-15
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Tea,2.0,0.0,5.5,0.0,-0.0,5.5,1.88,2.75,0.0,2,0,3,29,5.5,2019-10-16
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Tea,1.0,0.0,2.75,0.0,-0.0,2.75,0.11,2.75,0.0,3,0,3,25,2.75,2019-10-17
Long Island Iced Tea,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
