Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Tequila Shrimp Fettuccini,1.0,0.0,17.95,0.0,-0.0,17.95,0.85,17.95,0.0,4,0,1,26,17.95,2019-10-4
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Tequila Shrimp Fettuccini,1.0,0.0,17.95,0.0,-0.0,17.95,0.62,17.95,0.0,6,0,2,26,17.95,2019-10-13
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Tequila Shrimp Fettuccini,1.0,0.0,17.95,0.0,-0.0,17.95,1.47,17.95,0.0,4,0,3,23,17.95,2019-10-18
Tequila Shrimp Fettuccini,1.0,0.0,17.95,0.0,-0.0,17.95,1.18,17.95,0.0,5,1,3,26,17.95,2019-10-19
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Tequila Shrimp Fettuccini,1.0,0.0,17.95,0.0,-0.0,17.95,2.07,17.95,0.0,3,0,4,31,17.95,2019-10-24
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Tequila Shrimp Fettuccini,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
