Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
The Classic Enchiladas,2.0,0.0,17.9,0.0,-0.0,17.9,1.67,8.95,0.0,1,0,4,32,17.9,2019-10-22
The Classic Enchiladas,1.0,0.0,8.95,0.0,-0.0,8.95,0.85,8.95,0.0,1,0,5,21,8.95,2019-10-29
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
The Classic Enchiladas,1.0,0.0,8.95,0.0,-0.0,8.95,0.36,8.95,0.0,3,0,3,25,8.95,2019-10-17
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
The Classic Enchiladas,2.0,0.0,17.9,0.0,-0.0,17.9,1.54,8.95,0.0,4,0,4,31,17.9,2019-10-25
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
The Classic Enchiladas,4.0,0.0,35.8,0.0,-0.0,35.8,1.91,8.95,0.0,4,0,2,27,35.8,2019-10-11
The Classic Enchiladas,2.0,0.0,17.9,0.0,-0.0,17.9,5.84,8.95,0.0,0,0,1,32,17.9,2019-10-7
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
The Classic Enchiladas,1.0,0.0,8.95,0.0,-0.0,8.95,1.28,8.95,0.0,0,0,2,22,8.95,2019-10-14
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
The Classic Enchiladas,1.0,0.0,8.95,0.0,-0.0,8.95,0.32,8.95,0.0,3,0,1,27,8.95,2019-10-3
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
The Classic Enchiladas,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
