Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,0.32,8.95,0.0,3,0,1,27,8.95,2019-10-3
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
The Great Panino,2.0,0.0,17.9,0.0,-0.0,17.9,0.33,8.95,0.0,2,0,2,25,17.9,2019-10-9
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,0.77,8.95,0.0,4,0,4,31,8.95,2019-10-25
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
The Great Panino,2.0,0.0,17.9,0.0,-0.0,17.9,3.37,8.95,0.0,2,0,5,18,17.9,2019-10-30
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,2.18,8.95,0.0,2,0,1,11,8.95,2019-12-4
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
The Great Panino,2.0,0.0,17.9,0.0,-0.0,17.9,0.98,8.95,0.0,4,0,1,18,17.9,2019-12-6
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
The Great Panino,2.0,0.0,17.9,0.0,-0.0,17.9,2.36,8.95,0.0,3,0,2,19,17.9,2019-12-12
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,0.99,8.95,0.0,3,0,3,15,8.95,2019-12-19
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,0.76,8.95,0.0,4,0,4,11,8.95,2019-12-27
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,1,24,0,2020-2-1
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-2-7
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,2,20,0,2020-2-8
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,2,10,0,2020-2-9
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
The Great Panino,2.0,0.0,17.9,0.0,-0.0,17.9,2.96,8.95,0.0,1,0,2,16,17.9,2020-2-11
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,2,18,0,2020-2-14
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2020-2-15
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,3,20,0,2020-2-16
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,3,19,0,2020-2-17
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,3,19,0,2020-2-18
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,3,23,0,2020-2-20
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,0.28,8.95,0.0,4,0,3,24,8.95,2020-2-21
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,4,14,0,2020-2-22
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,4,14,0,2020-2-23
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2020-2-24
The Great Panino,2.0,0.0,17.9,0.0,-0.0,17.9,1.54,8.95,0.0,1,0,4,25,17.9,2020-2-25
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,7.73,8.95,0.0,2,0,4,21,8.95,2020-2-26
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,4,23,0,2020-2-28
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,5,19,0,2020-2-29
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,1.06,8.95,0.0,2,0,1,16,8.95,2020-1-1
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,1,17,0,2020-1-2
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-1-3
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,1,18,0,2020-1-4
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,1,17,0,2020-1-5
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,1,19,0,2020-1-6
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,1,19,0,2020-1-7
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-1-8
The Great Panino,7.0,0.0,62.65,0.0,-0.0,62.65,9.33,8.95,0.0,3,0,2,11,62.65,2020-1-9
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,2,15,0,2020-1-10
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,2,16,0,2020-1-11
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2020-1-12
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-1-13
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,2,15,0,2020-1-14
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,3,15,0,2020-1-15
The Great Panino,3.0,0.0,26.85,0.0,-0.0,26.85,4.28,8.95,0.0,3,0,3,14,26.85,2020-1-16
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,0.57,8.95,0.0,4,0,3,12,8.95,2020-1-17
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,3,17,0,2020-1-18
The Great Panino,0,0,0,0,0,0,0,0,0,6,0,3,19,0,2020-1-19
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,3,17,0,2020-1-20
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,3,11,0,2020-1-21
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,4,14,0,2020-1-22
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,4,19,0,2020-1-23
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,4,21,0,2020-1-24
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,4,22,0,2020-1-25
The Great Panino,1.0,0.0,8.95,-8.95,-0.0,0.0,0.0,0.0,0.0,6,0,4,19,0.0,2020-1-26
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,4,19,0,2020-1-27
The Great Panino,4.0,0.0,35.8,0.0,-0.0,35.8,3.07,8.95,0.0,1,0,4,21,35.8,2020-1-28
The Great Panino,0,0,0,0,0,0,0,0,0,2,0,5,17,0,2020-1-29
The Great Panino,0,0,0,0,0,0,0,0,0,3,0,5,18,0,2020-1-30
The Great Panino,0,0,0,0,0,0,0,0,0,4,0,5,21,0,2020-1-31
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,0.5,8.95,0.0,4,0,1,24,8.95,2019-11-1
The Great Panino,0,0,0,0,0,0,0,0,0,5,1,1,26,0,2019-11-2
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,0.25,8.95,0.0,6,0,1,27,8.95,2019-11-3
The Great Panino,0,0,0,0,0,0,0,0,0,0,0,1,26,0,2019-11-4
The Great Panino,0,0,0,0,0,0,0,0,0,1,0,1,28,0,2019-11-5
The Great Panino,1.0,0.0,8.95,0.0,-0.0,8.95,1.5,8.95,0.0,2,0,1,27,8.95,2019-11-6
