Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Tito's,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Tito's Vodka,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Tito's,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Tito's Vodka,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Tito's,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Tito's Vodka,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Tito's,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Tito's Vodka,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Tito's,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Tito's Vodka,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Tito's,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Tito's Vodka,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Tito's,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Tito's Vodka,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Tito's,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Tito's Vodka,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Tito's,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Tito's Vodka,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Tito's,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Tito's Vodka,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Tito's,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Tito's Vodka,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Tito's,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Tito's Vodka,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Tito's,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Tito's Vodka,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Tito's,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Tito's Vodka,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Tito's,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Tito's Vodka,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Tito's,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Tito's Vodka,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Tito's,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Tito's Vodka,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Tito's,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Tito's Vodka,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Tito's,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Tito's Vodka,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Tito's,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Tito's Vodka,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Tito's,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Tito's Vodka,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Tito's,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Tito's Vodka,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Tito's,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Tito's Vodka,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Tito's,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Tito's Vodka,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Tito's,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Tito's Vodka,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Tito's,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Tito's Vodka,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Tito's,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Tito's Vodka,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Tito's,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Tito's Vodka,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Tito's,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Tito's Vodka,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Tito's,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Tito's Vodka,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Tito's,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Tito's Vodka,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Tito's,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Tito's Vodka,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Tito's,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Tito's Vodka,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Tito's,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Tito's Vodka,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Tito's,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Tito's Vodka,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Tito's,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Tito's Vodka,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Tito's,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Tito's Vodka,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Tito's,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Tito's Vodka,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Tito's,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Tito's Vodka,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Tito's,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Tito's Vodka,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Tito's,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Tito's Vodka,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Tito's,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Tito's Vodka,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Tito's,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Tito's Vodka,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Tito's,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Tito's Vodka,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Tito's,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Tito's Vodka,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Tito's,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Tito's Vodka,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Tito's,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Tito's Vodka,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Tito's,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Tito's Vodka,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Tito's,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Tito's Vodka,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Tito's,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Tito's Vodka,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
