Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,1.14,11.95,0.0,1,0,5,21,11.95,2019-10-29
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,2.2,11.95,0.0,0,0,4,20,11.95,2019-10-28
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,4.08,11.95,0.0,2,0,3,29,11.95,2019-10-16
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,1.03,11.95,0.0,4,0,4,31,11.95,2019-10-25
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Tostada De Ceviche,4.0,0.0,45.8,0.0,-0.0,45.8,2.45,11.45,0.0,4,0,2,27,45.8,2019-10-11
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,1.71,11.95,0.0,0,0,2,22,11.95,2019-10-14
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,1.71,11.95,0.0,1,0,3,29,11.95,2019-10-15
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,0.35,11.95,0.0,6,0,3,27,11.95,2019-10-20
Tostada De Ceviche,1.0,0.0,11.95,-1.2,-0.0,10.75,1.52,10.75,0.0,0,0,3,31,10.75,2019-10-21
Tostada De Ceviche,2.0,0.0,23.9,0.0,-0.0,23.9,0.85,11.95,0.0,3,0,1,27,23.9,2019-10-3
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,0.57,11.95,0.0,4,0,1,26,11.95,2019-10-4
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Tostada De Ceviche,1.0,0.0,9.95,0.0,-0.0,9.95,0.56,9.95,0.0,5,1,4,30,9.95,2019-10-26
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,0.78,11.95,0.0,5,1,3,26,11.95,2019-10-19
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Tostada De Ceviche,1.0,0.0,9.95,0.0,-0.0,9.95,2.89,9.95,0.0,3,0,1,15,9.95,2019-12-5
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,0.21,11.95,0.0,1,0,5,15,11.95,2019-12-31
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,1.73,11.95,0.0,0,0,5,11,11.95,2019-12-30
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,1.57,11.95,0.0,3,0,2,19,11.95,2019-12-12
Tostada De Ceviche,3.0,0.0,33.85,0.0,-0.0,33.85,2.86,11.28,0.0,4,0,2,22,33.85,2019-12-13
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Tostada De Ceviche,2.0,0.0,21.9,0.0,-0.0,21.9,1.86,10.95,0.0,4,0,4,11,21.9,2019-12-27
Tostada De Ceviche,1.0,0.0,9.95,0.0,-0.0,9.95,1.42,9.95,0.0,2,0,3,12,9.95,2019-12-18
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Tostada De Ceviche,8.0,0.0,95.6,0.0,-0.0,95.6,4.89,11.95,0.0,6,0,3,14,95.6,2019-12-15
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,0.53,11.95,0.0,5,1,2,15,11.95,2019-12-14
Tostada De Ceviche,3.0,0.0,35.85,0.0,-0.0,35.85,2.38,11.95,0.0,5,1,3,18,35.85,2019-12-21
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,2.25,11.95,0.0,0,0,1,17,11.95,2019-12-2
Tostada De Ceviche,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Tostada De Ceviche,1.0,0.0,11.95,0.0,-0.0,11.95,0.32,11.95,0.0,6,0,2,15,11.95,2019-12-8
Tostada De Ceviche,4.0,0.0,47.8,-23.9,-0.0,23.9,0.79,5.98,0.0,0,0,2,16,23.9,2019-12-9
