Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
albondigas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
small albondigas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
albondiga,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
albondigas small,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
albondigas,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
small albondigas,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
albondiga,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
albondigas small,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
albondigas,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
small albondigas,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
albondiga,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
albondigas small,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
albondigas,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
small albondigas,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
albondiga,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
albondigas small,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
albondigas,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
small albondigas,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
albondiga,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
albondigas small,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
albondigas,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
small albondigas,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
albondiga,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
albondigas small,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
albondigas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
small albondigas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
albondiga,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
albondigas small,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
albondigas,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
small albondigas,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
albondiga,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
albondigas small,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
albondigas,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
small albondigas,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
albondiga,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
albondigas small,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
albondigas,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
small albondigas,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
albondiga,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
albondigas small,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
albondigas,1.0,0.0,3.5,0.0,-0.0,3.5,0.19,3.5,0.0,4,0,2,27,0.0,2019-10-11
small albondigas,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
albondiga,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
albondigas small,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
albondigas,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
small albondigas,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
albondiga,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
albondigas small,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
albondigas,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
small albondigas,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
albondiga,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
albondigas small,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
albondigas,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
small albondigas,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
albondiga,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
albondigas small,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
albondigas,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
small albondigas,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
albondiga,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
albondigas small,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
albondigas,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
small albondigas,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
albondiga,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
albondigas small,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
albondigas,2.0,0.0,7.98,0.0,-0.0,7.98,1.13,3.99,0.0,0,0,3,31,0.0,2019-10-21
small albondigas,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
albondiga,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
albondigas small,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
albondiga,1.0,0.0,3.5,0.0,-0.0,3.5,0.12,3.5,0.0,3,0,1,27,0.0,2019-10-3
albondigas,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
small albondigas,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
