Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,3,19,0,2020-2-18
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,1,0,3,19,0,2020-2-18
frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
32 oz frijoles refritos,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
