Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Gross Profit
Combination de Dos,11.0,0.0,113.45,0.0,-0.0,113.45,14.96,10.31,0.0,1,0,113.45
Combination de Dos,1.0,0.0,9.95,0.0,-0.0,9.95,8.17,9.95,0.0,2,0,9.95
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,5.57,9.95,0.0,1,0,59.7
Combination de Dos,10.0,0.0,109.5,0.0,-0.0,109.5,10.41,10.95,0.0,1,0,109.5
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,5.49,9.95,0.0,0,0,29.85
Combination de Dos,4.0,0.0,41.8,0.0,-0.0,41.8,1.68,10.45,0.0,3,0,41.8
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,21.06,10.28,0.0,2,0,61.7
Combination de Dos,5.0,0.0,51.75,0.0,-0.0,51.75,5.96,10.35,0.0,3,0,51.75
Combination de Dos,3.0,0.0,33.85,0.0,-0.0,33.85,2.91,11.28,0.0,4,0,33.85
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,0.8,9.95,0.0,3,0,19.9
Combination de Dos,9.0,0.0,95.55,0.0,-0.0,95.55,5.11,10.62,0.0,4,0,95.55
Combination de Dos,6.0,0.0,69.7,-9.95,-0.0,59.75,2.6,9.96,0.0,6,0,59.75
Combination de Dos,8.0,0.0,81.6,0.0,-0.0,81.6,11.65,10.2,0.0,0,0,81.6
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,4.27,9.95,0.0,1,0,29.85
Combination de Dos,10.0,0.0,101.5,-6.74,-0.0,94.76,2.75,9.48,0.0,6,0,94.76
Combination de Dos,5.0,0.0,53.75,0.0,-0.0,53.75,7.61,10.75,0.0,0,0,53.75
Combination de Dos,4.0,0.0,43.8,0.0,-0.0,43.8,1.56,10.95,0.0,3,0,43.8
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,7.31,10.28,0.0,2,0,61.7
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,0.74,9.95,0.0,2,0,39.8
Combination de Dos,7.0,0.0,71.65,0.0,-0.0,71.65,14.8,10.24,0.0,1,0,71.65
Combination de Dos,8.0,0.0,83.6,0.0,-0.0,83.6,3.96,10.45,0.0,4,0,83.6
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,7.61,9.95,0.0,5,1,59.7
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,7.5,9.95,0.0,2,0,39.8
Combination de Dos,3.0,0.0,31.85,0.0,-0.0,31.85,4.02,10.62,0.0,3,0,31.85
Combination de Dos,11.0,0.0,115.45,0.0,-0.0,115.45,4.01,10.5,0.0,6,0,115.45
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,3.29,9.95,0.0,5,1,59.7
Combination de Dos,9.0,0.0,93.55,0.0,-0.0,93.55,2.68,10.39,0.0,6,0,93.55
Combination de Dos,12.0,0.0,121.4,-0.99,-0.0,120.41,6.75,10.03,0.0,5,1,120.41
Combination de Dos,8.0,0.0,83.6,0.0,-0.0,83.6,5.47,10.45,0.0,5,1,83.6
Combination de Dos,5.0,0.0,51.75,0.0,-0.0,51.75,4.22,10.35,0.0,4,0,51.75
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,5.77,9.95,0.0,3,0,19.9
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,7.28,9.95,0.0,2,0,29.85
Combination de Dos,13.0,0.0,131.35,0.0,-0.0,131.35,2.36,10.1,0.0,1,0,131.35
Combination de Dos,9.0,0.0,93.55,-19.9,-0.0,73.65,10.68,8.18,0.0,0,0,73.65
Combination de Dos,5.0,0.0,49.75,0.0,-0.0,49.75,6.55,9.95,0.0,3,0,49.75
Combination de Dos,8.0,0.0,79.6,0.0,-0.0,79.6,6.71,9.95,0.0,4,0,79.6
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,5.06,9.95,0.0,4,0,59.7
Combination de Dos,7.0,0.0,69.65,0.0,-0.0,69.65,9.93,9.95,0.0,2,0,69.65
Combination de Dos,4.0,0.0,43.8,0.0,-0.0,43.8,4.84,10.95,0.0,3,0,43.8
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,3.05,9.95,0.0,6,0,59.7
Combination de Dos,16.0,0.0,161.2,-0.99,-0.0,160.21,7.15,10.01,0.0,5,1,160.21
Combination de Dos,5.0,0.0,51.75,0.0,-0.0,51.75,3.44,10.35,0.0,5,1,51.75
Combination de Dos,9.0,0.0,91.55,0.0,-0.0,91.55,3.7,10.17,0.0,4,0,91.55
Combination de Dos,4.0,0.0,41.8,0.0,-0.0,41.8,7.86,10.45,0.0,0,0,41.8
Combination de Dos,9.0,0.0,89.55,0.0,-0.0,89.55,12.04,9.95,0.0,1,0,89.55
