Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Albondigas Soup,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Albondigas Soup,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Albondigas Soup,1.0,0.0,8.95,0.0,-0.0,8.95,0.84,8.95,0.0,1,0,4,32,8.95,2019-10-22
Albondigas Soup,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Albondigas Soup,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Albondigas Soup,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Albondigas Soup,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Albondigas Soup,1.0,0.0,8.95,-8.95,-0.0,0.0,0.0,0.0,0.0,3,0,4,31,0.0,2019-10-24
Albondigas Soup,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Albondigas Soup,1.0,0.0,8.95,0.0,-0.0,8.95,0.36,8.95,0.0,3,0,2,24,8.95,2019-10-10
Albondigas Soup,3.0,0.0,26.85,0.0,-0.0,26.85,1.44,8.95,0.0,4,0,2,27,26.85,2019-10-11
Albondigas Soup,2.0,0.0,17.9,-8.95,-0.0,8.95,2.92,4.48,0.0,0,0,1,32,8.95,2019-10-7
Albondigas Soup,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Albondigas Soup,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Albondigas Soup,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Albondigas Soup,1.0,0.0,8.95,0.0,-0.0,8.95,0.26,8.95,0.0,6,0,3,27,8.95,2019-10-20
Albondigas Soup,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Albondigas Soup,1.0,0.0,8.95,-8.95,-0.0,0.0,0.0,0.0,0.0,3,0,1,27,0.0,2019-10-3
Albondigas Soup,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Albondigas Soup,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Albondigas Soup,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Albondigas Soup,1.0,0.0,8.95,0.0,-0.0,8.95,0.42,8.95,0.0,4,0,1,26,8.95,2019-10-4
Albondigas Soup,2.0,0.0,17.9,-8.95,-0.0,8.95,1.14,4.48,0.0,5,1,1,30,8.95,2019-10-5
Albondigas Soup,1.0,0.0,8.95,-8.95,-0.0,0.0,0.0,0.0,0.0,2,0,5,18,0.0,2019-10-30
Albondigas Soup,2.0,0.0,17.9,0.0,-0.0,17.9,2.26,8.95,0.0,3,0,5,20,17.9,2019-10-31
Albondigas Soup,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Albondigas Soup,1.0,0.0,8.95,0.0,-0.0,8.95,0.49,8.95,0.0,5,1,2,28,8.95,2019-10-12
Albondigas Soup,3.0,0.0,26.85,-8.95,-0.0,17.9,0.51,5.97,0.0,6,0,4,22,17.9,2019-10-27
Albondigas Soup,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Albondigas Soup,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Albondigas Soup,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Albondigas Soup,2.0,0.0,17.9,0.0,-0.0,17.9,5.19,8.95,0.0,3,0,1,15,17.9,2019-12-5
Albondigas Soup,1.0,0.0,8.95,0.0,-0.0,8.95,2.18,8.95,0.0,2,0,1,11,8.95,2019-12-4
Albondigas Soup,3.0,0.0,26.85,0.0,-0.0,26.85,0.48,8.95,0.0,1,0,5,15,26.85,2019-12-31
Albondigas Soup,1.0,0.0,8.95,0.0,-0.0,8.95,1.3,8.95,0.0,0,0,5,11,8.95,2019-12-30
Albondigas Soup,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Albondigas Soup,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Albondigas Soup,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
