Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Bloody Mary,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Bloody Mary,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Bloody Mary,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Bloody Mary,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Bloody Mary,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Bloody Mary,1.0,0.0,8.0,-2.0,-0.0,6.0,0.24,6.0,0.0,3,0,3,25,0.0,2019-10-17
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Bloody Mary,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Bloody Mary,1.0,0.0,8.0,-2.0,-0.0,6.0,0.69,6.0,0.0,3,0,4,31,0.0,2019-10-24
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Bloody Mary,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Bloody Mary,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Bloody Mary,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Bloody Mary,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Bloody Mary,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Bloody Mary,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Bloody Mary,1.0,0.0,8.0,0.0,-0.0,8.0,1.14,8.0,0.0,1,0,3,29,0.0,2019-10-15
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Bloody Mary,3.0,0.0,24.0,0.0,-0.0,24.0,0.7,8.0,0.0,6,0,3,27,0.0,2019-10-20
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Bloody Mary,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Bloody Mary,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Bloody Mary,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Bloody Mary,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Spicy Bloody Mary,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Bloody Mary,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Spicy Bloody Mary,3.0,0.0,27.0,-4.0,-0.0,23.0,1.09,7.67,0.0,4,0,1,26,0.0,2019-10-4
