Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Carnitas Burrito,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Carnitas Burrito,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Carnitas Burrito,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Carnitas Burrito,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Carnitas Burrito,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Carnitas Burrito,1.0,0.0,12.95,0.0,-0.0,12.95,0.52,12.95,0.0,3,0,3,25,12.95,2019-10-17
Carnitas Burrito,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Carnitas Burrito,1.0,0.0,12.95,0.0,-0.0,12.95,1.49,12.95,0.0,3,0,4,31,12.95,2019-10-24
Carnitas Burrito,1.0,0.0,14.95,0.0,-0.0,14.95,1.29,14.95,0.0,4,0,4,31,14.95,2019-10-25
Carnitas Burrito,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Carnitas Burrito,1.0,0.0,17.95,0.0,-0.0,17.95,0.96,17.95,0.0,4,0,2,27,17.95,2019-10-11
Carnitas Burrito,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Carnitas Burrito,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Carnitas Burrito,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Carnitas Burrito,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Carnitas Burrito,1.0,0.0,12.95,0.0,-0.0,12.95,0.38,12.95,0.0,6,0,3,27,12.95,2019-10-20
Carnitas Burrito,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Carnitas Burrito,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Carnitas Burrito,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Carnitas Burrito,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Carnitas Burrito,1.0,0.0,12.95,0.0,-0.0,12.95,2.67,12.95,0.0,1,0,2,29,12.95,2019-10-8
Carnitas Burrito,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Carnitas Burrito,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Carnitas Burrito,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Carnitas Burrito,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Carnitas Burrito,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Carnitas Burrito,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Carnitas Burrito,2.0,0.0,27.9,0.0,-0.0,27.9,0.8,13.95,0.0,6,0,4,22,27.9,2019-10-27
Carnitas Burrito,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Carnitas Burrito,1.0,0.0,17.95,0.0,-0.0,17.95,1.18,17.95,0.0,5,1,3,26,17.95,2019-10-19
Carnitas Burrito,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Carnitas Burrito,1.0,0.0,14.95,0.0,-0.0,14.95,4.34,14.95,0.0,3,0,1,15,14.95,2019-12-5
Carnitas Burrito,1.0,0.0,16.95,0.0,-0.0,16.95,4.14,16.95,0.0,2,0,1,11,16.95,2019-12-4
Carnitas Burrito,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Carnitas Burrito,1.0,0.0,12.95,-12.95,-0.0,0.0,0.0,0.0,0.0,0,0,5,11,0.0,2019-12-30
Carnitas Burrito,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Carnitas Burrito,1.0,0.0,14.95,0.0,-0.0,14.95,1.26,14.95,0.0,4,0,2,22,14.95,2019-12-13
Carnitas Burrito,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Carnitas Burrito,1.0,0.0,12.95,-12.95,-0.0,0.0,0.0,0.0,0.0,4,0,4,11,0.0,2019-12-27
Carnitas Burrito,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Carnitas Burrito,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Carnitas Burrito,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Carnitas Burrito,3.0,0.0,38.85,0.0,-0.0,38.85,1.73,12.95,0.0,5,1,2,15,38.85,2019-12-14
Carnitas Burrito,1.0,0.0,14.95,0.0,-0.0,14.95,0.99,14.95,0.0,5,1,3,18,14.95,2019-12-21
Carnitas Burrito,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Carnitas Burrito,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Carnitas Burrito,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Carnitas Burrito,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Carnitas Burrito,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Carnitas Burrito,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Carnitas Burrito,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Carnitas Burrito,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Carnitas Burrito,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Carnitas Burrito,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Carnitas Burrito,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
Carnitas Burrito,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Carnitas Burrito,1.0,0.0,14.95,0.0,-0.0,14.95,0.47,14.95,0.0,6,0,4,17,14.95,2019-12-22
Carnitas Burrito,1.0,0.0,12.95,0.0,-0.0,12.95,1.17,12.95,0.0,0,0,4,9,12.95,2019-12-23
Carnitas Burrito,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
Carnitas Burrito,1.0,0.0,14.95,0.0,-0.0,14.95,0.9,14.95,0.0,6,0,5,12,14.95,2019-12-29
Carnitas Burrito,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Carnitas Burrito,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Carnitas Burrito,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
Carnitas Burrito,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
Carnitas Burrito,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
Carnitas Burrito,1.0,0.0,12.95,0.0,-0.0,12.95,0.69,12.95,0.0,1,0,3,19,12.95,2020-2-18
Carnitas Burrito,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
Carnitas Burrito,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
Carnitas Burrito,1.0,0.0,12.95,0.0,-0.0,12.95,1.42,12.95,0.0,3,0,2,17,12.95,2020-2-13
Carnitas Burrito,1.0,0.0,15.95,0.0,-0.0,15.95,3.97,15.95,0.0,2,0,2,15,15.95,2020-2-12
