Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Carnitas Plate,2.0,0.0,33.9,0.0,-0.0,33.9,6.24,16.95,0.0,0,0,4,20,33.9,2019-10-28
Carnitas Plate,2.0,0.0,33.9,0.0,-0.0,33.9,1.36,16.95,0.0,3,0,3,25,33.9,2019-10-17
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Carnitas Plate,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Carnitas Plate,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Carnitas Plate,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Carnitas Plate,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Carnitas Plate,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Carnitas Plate,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,2.4,16.95,0.0,0,0,3,31,16.95,2019-10-21
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,0.8,16.95,0.0,4,0,1,26,16.95,2019-10-4
Carnitas Plate,1.0,0.0,16.95,-16.95,-0.0,0.0,0.0,0.0,0.0,5,1,1,30,0.0,2019-10-5
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,0.59,16.95,0.0,6,0,2,26,16.95,2019-10-13
Carnitas Plate,1.0,0.0,16.95,-16.95,-0.0,0.0,0.0,0.0,0.0,5,1,2,28,0.0,2019-10-12
Carnitas Plate,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Carnitas Plate,2.0,0.0,33.9,0.0,-0.0,33.9,1.9,16.95,0.0,5,1,4,30,33.9,2019-10-26
Carnitas Plate,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Carnitas Plate,2.0,0.0,33.9,0.0,-0.0,33.9,2.77,16.95,0.0,4,0,3,23,33.9,2019-10-18
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,0.3,16.95,0.0,1,0,5,15,16.95,2019-12-31
Carnitas Plate,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Carnitas Plate,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,1.44,16.95,0.0,4,0,4,11,16.95,2019-12-27
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,0.87,16.95,0.0,6,0,3,14,16.95,2019-12-15
Carnitas Plate,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Carnitas Plate,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Carnitas Plate,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Carnitas Plate,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Carnitas Plate,2.0,0.0,33.9,0.0,-0.0,33.9,0.92,16.95,0.0,6,0,2,15,33.9,2019-12-8
Carnitas Plate,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Carnitas Plate,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Carnitas Plate,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
Carnitas Plate,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Carnitas Plate,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
Carnitas Plate,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,0.98,16.95,0.0,5,1,4,13,16.95,2019-12-28
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,1.03,16.95,0.0,6,0,5,12,16.95,2019-12-29
Carnitas Plate,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
Carnitas Plate,2.0,0.0,33.9,0.0,-0.0,33.9,7.47,16.95,0.0,2,0,1,12,33.9,2020-2-5
Carnitas Plate,1.0,0.0,16.95,-16.95,-0.0,0.0,0.0,0.0,0.0,2,0,3,19,0.0,2020-2-19
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,3,19,0,2020-2-18
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,3,23,0,2020-2-20
Carnitas Plate,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,0.32,16.95,0.0,4,0,2,18,16.95,2020-2-14
Carnitas Plate,2.0,0.0,33.9,0.0,-0.0,33.9,2.1,16.95,0.0,5,1,3,18,33.9,2020-2-15
Carnitas Plate,0,0,0,0,0,0,0,0,0,6,0,2,10,0,2020-2-9
Carnitas Plate,0,0,0,0,0,0,0,0,0,5,1,2,20,0,2020-2-8
Carnitas Plate,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
Carnitas Plate,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
Carnitas Plate,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2020-2-11
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,3.15,16.95,0.0,0,0,4,20,16.95,2020-2-24
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,1.46,16.95,0.0,1,0,4,25,16.95,2020-2-25
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,0.85,16.95,0.0,4,0,1,19,16.95,2020-2-7
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
Carnitas Plate,0,0,0,0,0,0,0,0,0,5,1,1,24,0,2020-2-1
Carnitas Plate,0,0,0,0,0,0,0,0,0,0,0,3,19,0,2020-2-17
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,0.57,16.95,0.0,6,0,3,20,16.95,2020-2-16
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,1.24,16.95,0.0,5,1,5,19,16.95,2020-2-29
Carnitas Plate,3.0,1.0,50.85,0.0,-16.95,33.9,1.23,16.95,0.0,4,0,4,23,33.9,2020-2-28
Carnitas Plate,0,0,0,0,0,0,0,0,0,6,0,4,14,0,2020-2-23
Carnitas Plate,2.0,0.0,33.9,0.0,-0.0,33.9,2.43,16.95,0.0,5,1,4,14,33.9,2020-2-22
Carnitas Plate,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-1-3
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,1,17,0,2020-1-2
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,2,11,0,2020-1-9
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-1-8
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,2,15,0,2020-1-14
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,3,15,0,2020-1-15
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,1.09,16.95,0.0,0,0,3,17,16.95,2020-1-20
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,3,11,0,2020-1-21
Carnitas Plate,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-1-13
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,0.58,16.95,0.0,6,0,2,15,16.95,2020-1-12
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,4.28,16.95,0.0,0,0,4,19,16.95,2020-1-27
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,0.58,16.95,0.0,6,0,4,19,16.95,2020-1-26
Carnitas Plate,0,0,0,0,0,0,0,0,0,6,0,3,19,0,2020-1-19
Carnitas Plate,2.0,0.0,33.9,-16.95,-0.0,16.95,0.97,8.48,0.0,5,1,3,17,16.95,2020-1-18
Carnitas Plate,0,0,0,0,0,0,0,0,0,5,1,1,18,0,2020-1-4
Carnitas Plate,0,0,0,0,0,0,0,0,0,6,0,1,17,0,2020-1-5
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,5,18,0,2020-1-30
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,0.31,16.95,0.0,4,0,5,21,16.95,2020-1-31
Carnitas Plate,0,0,0,0,0,0,0,0,0,3,0,4,19,0,2020-1-23
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,4,14,0,2020-1-22
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,5,17,0,2020-1-29
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,4,21,0,2020-1-28
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,1.09,16.95,0.0,4,0,3,12,16.95,2020-1-17
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,2.7,16.95,0.0,3,0,3,14,16.95,2020-1-16
Carnitas Plate,0,0,0,0,0,0,0,0,0,2,0,1,16,0,2020-1-1
Carnitas Plate,0,0,0,0,0,0,0,0,0,1,0,1,19,0,2020-1-7
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,1.21,16.95,0.0,0,0,1,19,16.95,2020-1-6
Carnitas Plate,0,0,0,0,0,0,0,0,0,4,0,4,21,0,2020-1-24
Carnitas Plate,1.0,0.0,16.95,0.0,-0.0,16.95,1.41,16.95,0.0,5,1,4,22,16.95,2020-1-25
Carnitas Plate,0,0,0,0,0,0,0,0,0,4,0,2,15,0,2020-1-10
Carnitas Plate,2.0,0.0,33.9,0.0,-0.0,33.9,1.74,16.95,0.0,5,1,2,16,33.9,2020-1-11
