Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Cheesecake,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Cheesecake,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Cheesecake,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Cheesecake,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Cheesecake,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
S Pumpkin Cheesecake,1.0,0.0,4.95,0.0,-0.0,4.95,0.2,4.95,0.0,3,0,3,25,4.95,2019-10-17
Cheesecake,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Cheesecake,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
S Pumpkin Cheesecake,1.0,0.0,4.95,0.0,-0.0,4.95,0.57,4.95,0.0,3,0,4,31,4.95,2019-10-24
Cheesecake,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
S Pumpkin Cheesecake,1.0,0.0,4.95,0.0,-0.0,4.95,0.43,4.95,0.0,4,0,4,31,4.95,2019-10-25
Cheesecake,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Cheesecake,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Cheesecake,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Cheesecake,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Cheesecake,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Cheesecake,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Cheesecake,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
S Pumpkin Cheesecake,1.0,0.0,4.95,0.0,-0.0,4.95,0.14,4.95,0.0,6,0,3,27,4.95,2019-10-20
Cheesecake,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Cheesecake,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Cheesecake,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Cheesecake,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Cheesecake,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Cheesecake,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Cheesecake,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Cheesecake,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Cheesecake,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Cheesecake,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
S Pumpkin Cheesecake,3.0,0.0,14.85,0.0,-0.0,14.85,0.52,4.95,0.0,6,0,2,26,14.85,2019-10-13
Cheesecake,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Cheesecake,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Cheesecake,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Cheesecake,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Cheesecake,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
S Pumpkin Cheesecake,1.0,0.0,4.95,0.0,-0.0,4.95,0.4,4.95,0.0,4,0,3,23,4.95,2019-10-18
Cheesecake,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Cheesecake,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Cheesecake,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Cheesecake,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Cheesecake,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Cheesecake,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Cheesecake,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Cheesecake,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Cheesecake,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Cheesecake,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Cheesecake,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Cheesecake,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Cheesecake,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Cheesecake,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
S Pumpkin Cheesecake,1.0,0.0,4.95,0.0,-0.0,4.95,0.2,4.95,0.0,4,0,3,17,4.95,2019-12-20
Cheesecake,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Cheesecake,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Cheesecake,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Cheesecake,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Cheesecake,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Cheesecake,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Cheesecake,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Special NY Cheesecake,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
S Pumpkin Cheesecake,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
