Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Churros,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Churros,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Churros,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Churros,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Churros,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Churros,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Churros,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Churros,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Churros,1.0,0.0,4.95,0.0,-0.0,4.95,0.43,4.95,0.0,4,0,4,31,4.95,2019-10-25
Churros,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Churros,1.0,0.0,4.95,0.0,-0.0,4.95,0.26,4.95,0.0,4,0,2,27,4.95,2019-10-11
Churros,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Churros,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Churros,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Churros,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Churros,2.0,0.0,9.9,0.0,-0.0,9.9,0.29,4.95,0.0,6,0,3,27,9.9,2019-10-20
Churros,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Churros,1.0,0.0,4.95,0.0,-0.0,4.95,0.18,4.95,0.0,3,0,1,27,4.95,2019-10-3
Churros,1.0,0.0,4.95,0.0,-0.0,4.95,0.59,4.95,0.0,2,0,1,27,4.95,2019-10-2
Churros,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Churros,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Churros,2.0,0.0,9.9,0.0,-0.0,9.9,0.47,4.95,0.0,4,0,1,26,9.9,2019-10-4
Churros,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Churros,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Churros,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Churros,1.0,0.0,4.95,0.0,-0.0,4.95,0.17,4.95,0.0,6,0,2,26,4.95,2019-10-13
Churros,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
