Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Custom Item,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1,0,1,21,0.0,2019-10-1
Custom Item,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Custom Item,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Custom Item,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Custom Item,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Custom Item,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Custom Item,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Custom Item,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Custom Item,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Custom Item,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Custom Item,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Custom Item,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Custom Item,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Custom Item,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,2,22,0.0,2019-10-14
Custom Item,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Custom Item,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Custom Item,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Custom Item,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Custom Item,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Custom Item,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Custom Item,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
