Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Enchilada A La Carte,2.0,0.0,4.5,0.0,-0.0,4.5,0.59,2.25,0.0,1,0,1,21,0.0,2019-10-1
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Enchilada A La Carte,3.0,0.0,6.75,0.0,-0.0,6.75,0.63,2.25,0.0,1,0,4,32,0.0,2019-10-22
Enchilada A La Carte,4.0,0.0,9.0,0.0,-0.0,9.0,0.86,2.25,0.0,1,0,5,21,0.0,2019-10-29
Enchilada A La Carte,1.0,0.0,2.5,0.0,-0.0,2.5,0.46,2.5,0.0,0,0,4,20,0.0,2019-10-28
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Enchilada A La Carte,2.0,0.0,4.5,0.0,-0.0,4.5,0.24,2.25,0.0,4,0,2,27,0.0,2019-10-11
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Enchilada A La Carte,1.0,0.0,2.5,0.0,-0.0,2.5,0.36,2.5,0.0,0,0,2,22,0.0,2019-10-14
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Enchilada A La Carte,3.0,0.0,8.25,0.0,-0.0,8.25,0.24,2.75,0.0,6,0,3,27,0.0,2019-10-20
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Enchilada A La Carte,2.0,0.0,5.0,0.0,-0.0,5.0,0.64,2.5,0.0,5,1,1,30,0.0,2019-10-5
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Enchilada A La Carte,5.0,0.0,12.5,0.0,-0.0,12.5,3.05,2.5,0.0,2,0,1,11,0.0,2019-12-4
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Enchilada A La Carte,4.0,0.0,9.0,0.0,-0.0,9.0,0.99,2.25,0.0,3,0,3,15,0.0,2019-12-19
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Enchilada A La Carte,3.0,0.0,7.25,0.0,-0.0,7.25,0.32,2.42,0.0,5,1,2,15,0.0,2019-12-14
Enchilada A La Carte,2.0,0.0,5.0,-1.25,-0.0,3.75,0.25,1.88,0.0,5,1,3,18,0.0,2019-12-21
Enchilada A La Carte,1.0,0.0,2.5,0.0,-0.0,2.5,0.1,2.5,0.0,4,0,3,17,0.0,2019-12-20
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Enchilada A La Carte,1.0,0.0,2.5,0.0,-0.0,2.5,0.34,2.5,0.0,1,0,1,18,0.0,2019-12-3
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Enchilada A La Carte,1.0,0.0,2.5,0.0,-0.0,2.5,0.29,2.5,0.0,2,0,2,18,0.0,2019-12-11
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Enchilada A La Carte,3.0,0.0,7.25,-0.69,-0.0,6.56,0.36,2.19,0.0,4,0,1,18,0.0,2019-12-6
Enchilada A La Carte,2.0,0.0,5.0,-1.25,-0.0,3.75,0.12,1.88,0.0,5,1,1,16,0.0,2019-12-7
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
Enchilada A La Carte,3.0,0.0,6.75,0.0,-0.0,6.75,0.61,2.25,0.0,0,0,4,9,0.0,2019-12-23
Enchilada A La Carte,2.0,0.0,5.0,0.0,-0.0,5.0,0.29,2.5,0.0,5,1,4,13,0.0,2019-12-28
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Enchilada A La Carte,1.0,0.0,2.25,0.0,-0.0,2.25,0.47,2.25,0.0,1,0,3,12,0.0,2019-12-17
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
Enchilada A La Carte,2.0,0.0,4.5,0.0,-0.0,4.5,0.24,2.25,0.0,1,0,3,19,0.0,2020-2-18
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
Enchilada A La Carte,1.0,0.0,2.25,0.0,-0.0,2.25,0.23,2.25,0.0,3,0,3,23,0.0,2020-2-20
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,4,0,2,18,0,2020-2-14
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2020-2-15
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,6,0,2,10,0,2020-2-9
Enchilada A La Carte,6.0,0.0,14.5,-2.5,-0.0,12.0,1.11,2.0,0.0,5,1,2,20,0.0,2020-2-8
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
Enchilada A La Carte,3.0,0.0,9.25,0.0,-0.0,9.25,0.45,3.08,0.0,6,0,1,21,0.0,2020-2-2
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
Enchilada A La Carte,3.0,0.0,7.0,0.0,-0.0,7.0,1.16,2.33,0.0,1,0,2,16,0.0,2020-2-11
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2020-2-24
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,1,0,4,25,0,2020-2-25
Enchilada A La Carte,2.0,0.0,4.5,0.0,-0.0,4.5,0.23,2.25,0.0,4,0,1,19,0.0,2020-2-7
Enchilada A La Carte,2.0,1.0,7.5,0.0,-3.75,3.75,0.5,3.75,0.0,3,0,1,14,0.0,2020-2-6
Enchilada A La Carte,2.0,0.0,4.75,0.0,-0.0,4.75,0.24,2.38,0.0,5,1,1,24,0.0,2020-2-1
Enchilada A La Carte,0,0,0,0,0,0,0,0,0,0,0,3,19,0,2020-2-17
Enchilada A La Carte,2.0,0.0,4.5,0.0,-0.0,4.5,0.15,2.25,0.0,6,0,3,20,0.0,2020-2-16
Enchilada A La Carte,4.0,0.0,10.5,0.0,-0.0,10.5,0.77,2.63,0.0,5,1,5,19,0.0,2020-2-29
