Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
S Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Filet,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
V Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Filet,1.0,0.0,14.95,0.0,-0.0,14.95,12.28,14.95,0.0,2,0,4,32,14.95,2019-10-23
S Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
V Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
S Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Filet,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
V Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
S Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Filet,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
V Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
S Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Filet,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
V Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
S Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Filet,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
V Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
S Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Filet,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
V Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Filet,1.0,0.0,14.95,0.0,-0.0,14.95,1.72,14.95,0.0,3,0,4,31,14.95,2019-10-24
S Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
V Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
S Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Filet,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
V Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
S Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Filet,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
V Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
S Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Filet,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
V Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
S Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Filet,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
V Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
S Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Filet,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
V Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
S Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Filet,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
V Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
S Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Filet,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
V Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
S Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Filet,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
V Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
S Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Filet,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
V Filet Mignon,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
S Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Filet,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
V Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
S Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Filet,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
V Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
S Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Filet,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
V Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
S Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Filet,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
V Filet Mignon,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Filet,1.0,0.0,14.95,0.0,-0.0,14.95,0.71,14.95,0.0,4,0,1,26,14.95,2019-10-4
S Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
V Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
S Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Filet,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
V Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
S Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Filet,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
V Filet Mignon,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
S Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Filet,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
V Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Filet,1.0,0.0,14.95,0.0,-0.0,14.95,0.52,14.95,0.0,6,0,2,26,14.95,2019-10-13
S Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
V Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Filet,2.0,0.0,29.9,0.0,-0.0,29.9,1.65,14.95,0.0,5,1,2,28,29.9,2019-10-12
S Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
V Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
S Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Filet,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
V Filet Mignon,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
S Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Filet,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
V Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
S Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Filet,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
V Filet Mignon,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Filet,1.0,0.0,14.95,0.0,-0.0,14.95,1.22,14.95,0.0,4,0,3,23,14.95,2019-10-18
S Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
V Filet Mignon,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
S Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Filet Mignon,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
