Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Guacamole Full Size,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Guacamole Full Size,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Guacamole Full Size,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Guacamole Full Size,2.0,0.0,21.9,0.0,-0.0,21.9,2.08,10.95,17.9,1,0,5,21,4.0,2019-10-29
Guacamole Full Size,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Guacamole Full Size,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Guacamole Full Size,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Guacamole Full Size,2.0,0.0,21.9,0.0,-0.0,21.9,2.52,10.95,17.9,3,0,4,31,4.0,2019-10-24
Guacamole Full Size,2.0,0.0,21.9,0.0,-0.0,21.9,1.88,10.95,17.9,4,0,4,31,4.0,2019-10-25
Guacamole Full Size,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Guacamole Full Size,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Guacamole Full Size,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Guacamole Full Size,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Guacamole Full Size,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Guacamole Full Size,1.0,0.0,10.95,0.0,-0.0,10.95,1.57,10.95,8.95,1,0,3,29,2.0,2019-10-15
Guacamole Full Size,2.0,0.0,21.9,0.0,-0.0,21.9,0.64,10.95,17.9,6,0,3,27,4.0,2019-10-20
Guacamole Full Size,1.0,0.0,10.95,0.0,-0.0,10.95,1.55,10.95,8.95,0,0,3,31,2.0,2019-10-21
Guacamole Full Size,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Guacamole Full Size,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Guacamole Full Size,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Guacamole Full Size,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Guacamole Full Size,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Guacamole Full Size,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Guacamole Full Size,1.0,0.0,10.95,0.0,-0.0,10.95,2.06,10.95,8.95,2,0,5,18,2.0,2019-10-30
Guacamole Full Size,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Guacamole Full Size,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Guacamole Full Size,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Guacamole Full Size,4.0,0.0,43.8,0.0,-0.0,43.8,1.25,10.95,35.8,6,0,4,22,8.0,2019-10-27
Guacamole Full Size,4.0,0.0,43.8,0.0,-0.0,43.8,2.46,10.95,35.8,5,1,4,30,8.0,2019-10-26
Guacamole Full Size,4.0,0.0,43.8,0.0,-0.0,43.8,2.87,10.95,35.8,5,1,3,26,8.0,2019-10-19
Guacamole Full Size,2.0,0.0,21.9,0.0,-0.0,21.9,1.79,10.95,17.9,4,0,3,23,4.0,2019-10-18
Guacamole Full Size,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Guacamole Full Size,1.0,0.0,10.95,0.0,-0.0,10.95,2.67,10.95,8.95,2,0,1,11,2.0,2019-12-4
Guacamole Full Size,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Guacamole Full Size,1.0,0.0,8.95,0.0,-0.0,8.95,1.3,8.95,8.95,0,0,5,11,0.0,2019-12-30
Guacamole Full Size,3.0,0.0,26.85,0.0,-0.0,26.85,3.53,8.95,26.85,3,0,2,19,0.0,2019-12-12
Guacamole Full Size,6.0,0.0,53.7,0.0,-0.0,53.7,4.53,8.95,53.7,4,0,2,22,0.0,2019-12-13
Guacamole Full Size,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Guacamole Full Size,2.0,0.0,17.9,0.0,-0.0,17.9,1.52,8.95,17.9,4,0,4,11,0.0,2019-12-27
Guacamole Full Size,2.0,0.0,17.9,0.0,-0.0,17.9,2.55,8.95,17.9,2,0,3,12,0.0,2019-12-18
Guacamole Full Size,3.0,0.0,26.85,0.0,-0.0,26.85,2.97,8.95,26.85,3,0,3,15,0.0,2019-12-19
Guacamole Full Size,2.0,0.0,17.9,0.0,-0.0,17.9,0.92,8.95,17.9,6,0,3,14,0.0,2019-12-15
Guacamole Full Size,6.0,0.0,53.7,0.0,-0.0,53.7,2.4,8.95,53.7,5,1,2,15,0.0,2019-12-14
Guacamole Full Size,5.0,0.0,44.75,0.0,-0.0,44.75,2.97,8.95,44.75,5,1,3,18,0.0,2019-12-21
Guacamole Full Size,4.0,0.0,35.8,0.0,-0.0,35.8,1.45,8.95,35.8,4,0,3,17,0.0,2019-12-20
Guacamole Full Size,1.0,0.0,10.95,0.0,-0.0,10.95,2.06,10.95,8.95,0,0,1,17,2.0,2019-12-2
Guacamole Full Size,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Guacamole Full Size,6.0,0.0,53.7,0.0,-0.0,53.7,1.46,8.95,53.7,6,0,2,15,0.0,2019-12-8
Guacamole Full Size,3.0,0.0,22.9,0.0,-0.0,22.9,0.76,7.63,26.85,0,0,2,16,-3.95,2019-12-9
Guacamole Full Size,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Guacamole Full Size,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
