Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
KIDS Cheese Enchilada,1.0,0.0,8.95,0.0,-0.0,8.95,0.36,8.95,0.0,3,0,3,25,8.95,2019-10-17
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
KIDS Cheese Enchilada,1.0,0.0,8.95,0.0,-0.0,8.95,0.48,8.95,0.0,4,0,2,27,8.95,2019-10-11
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
KIDS Cheese Enchilada,1.0,0.0,8.95,0.0,-0.0,8.95,0.5,8.95,0.0,5,1,4,30,8.95,2019-10-26
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
KIDS Cheese Enchilada,1.0,0.0,8.95,0.0,-0.0,8.95,0.46,8.95,0.0,6,0,3,14,8.95,2019-12-15
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
KIDS Cheese Enchilada,1.0,0.0,8.95,0.0,-0.0,8.95,0.59,8.95,0.0,5,1,3,18,8.95,2019-12-21
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
KIDS Cheese Enchilada,1.0,0.0,8.95,0.0,-0.0,8.95,0.34,8.95,0.0,6,0,1,14,8.95,2019-12-1
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
KIDS Cheese Enchilada,1.0,0.0,8.95,0.0,-0.0,8.95,0.48,8.95,0.0,1,0,3,19,8.95,2020-2-18
KIDS Cheese Enchilada,3.0,0.0,26.85,0.0,-0.0,26.85,2.79,8.95,0.0,3,0,4,24,26.85,2020-2-27
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,3,23,0,2020-2-20
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,2,18,0,2020-2-14
KIDS Cheese Enchilada,1.0,0.0,8.95,0.0,-0.0,8.95,0.55,8.95,0.0,5,1,3,18,8.95,2020-2-15
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,2,10,0,2020-2-9
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,2,20,0,2020-2-8
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2020-2-11
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2020-2-24
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,4,25,0,2020-2-25
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-2-7
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,1,24,0,2020-2-1
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,3,19,0,2020-2-17
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,3,20,0,2020-2-16
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,5,19,0,2020-2-29
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,4,23,0,2020-2-28
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,4,14,0,2020-2-23
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,4,14,0,2020-2-22
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-1-3
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,1,17,0,2020-1-2
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,2,11,0,2020-1-9
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-1-8
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,2,15,0,2020-1-14
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,3,15,0,2020-1-15
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,3,17,0,2020-1-20
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,3,11,0,2020-1-21
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-1-13
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2020-1-12
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,4,19,0,2020-1-27
KIDS Cheese Enchilada,1.0,0.0,8.95,0.0,-0.0,8.95,0.31,8.95,0.0,6,0,4,19,8.95,2020-1-26
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,3,19,0,2020-1-19
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,3,17,0,2020-1-18
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,1,18,0,2020-1-4
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,6,0,1,17,0,2020-1-5
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,5,18,0,2020-1-30
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,5,21,0,2020-1-31
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,4,19,0,2020-1-23
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,4,14,0,2020-1-22
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,5,17,0,2020-1-29
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,4,21,0,2020-1-28
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,3,12,0,2020-1-17
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,3,0,3,14,0,2020-1-16
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,2,0,1,16,0,2020-1-1
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,1,0,1,19,0,2020-1-7
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,0,0,1,19,0,2020-1-6
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,4,21,0,2020-1-24
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,4,22,0,2020-1-25
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,4,0,2,15,0,2020-1-10
KIDS Cheese Enchilada,0,0,0,0,0,0,0,0,0,5,1,2,16,0,2020-1-11
