Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Shred Beef Burrito,2.0,0.0,25.9,0.0,-0.0,25.9,1.04,12.95,0.0,3,0,3,25,25.9,2019-10-17
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Shred Beef Burrito,1.0,0.0,13.95,0.0,-0.0,13.95,1.2,13.95,0.0,4,0,4,31,13.95,2019-10-25
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Shred Beef Burrito,1.0,0.0,11.95,0.0,-0.0,11.95,0.35,11.95,0.0,6,0,3,27,11.95,2019-10-20
Shred Beef Burrito,1.0,0.0,14.95,0.0,-0.0,14.95,2.12,14.95,0.0,0,0,3,31,14.95,2019-10-21
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Shred Beef Burrito,3.0,0.0,37.85,0.0,-0.0,37.85,1.79,12.62,0.0,4,0,1,26,37.85,2019-10-4
Shred Beef Burrito,1.0,0.0,11.95,0.0,-0.0,11.95,1.52,11.95,0.0,5,1,1,30,11.95,2019-10-5
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Shred Beef Burrito,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
