Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Side Guacamole,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Side Guacamole,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.56,3.0,0.0,1,0,4,32,6.0,2019-10-22
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.29,3.0,0.0,1,0,5,21,3.0,2019-10-29
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.55,3.0,0.0,0,0,4,20,3.0,2019-10-28
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.12,3.0,0.0,3,0,3,25,3.0,2019-10-17
Side Guacamole,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.35,3.0,0.0,3,0,4,31,3.0,2019-10-24
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.52,3.0,0.0,4,0,4,31,6.0,2019-10-25
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.12,3.0,0.0,3,0,2,24,3.0,2019-10-10
Side Guacamole,6.0,0.0,18.0,0.0,-0.0,18.0,0.96,3.0,0.0,4,0,2,27,18.0,2019-10-11
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.98,3.0,0.0,0,0,1,32,3.0,2019-10-7
Side Guacamole,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.86,3.0,0.0,0,0,2,22,6.0,2019-10-14
Side Guacamole,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.09,3.0,0.0,6,0,3,27,3.0,2019-10-20
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.85,3.0,0.0,0,0,3,31,6.0,2019-10-21
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.11,3.0,0.0,3,0,1,27,3.0,2019-10-3
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.36,3.0,0.0,2,0,1,27,3.0,2019-10-2
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.11,3.0,0.0,2,0,2,25,6.0,2019-10-9
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.62,3.0,0.0,1,0,2,29,3.0,2019-10-8
Side Guacamole,6.0,0.0,18.0,-0.11,-0.0,17.89,0.85,2.98,0.0,4,0,1,26,17.89,2019-10-4
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.38,3.0,0.0,5,1,1,30,3.0,2019-10-5
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,1.13,3.0,0.0,2,0,5,18,6.0,2019-10-30
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.38,3.0,0.0,3,0,5,20,3.0,2019-10-31
Side Guacamole,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.33,3.0,0.0,5,1,2,28,6.0,2019-10-12
Side Guacamole,3.0,0.0,9.0,-3.3,-0.0,5.7,0.16,1.9,0.0,6,0,4,22,5.7,2019-10-27
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.17,3.0,0.0,5,1,4,30,3.0,2019-10-26
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.2,3.0,0.0,5,1,3,26,3.0,2019-10-19
Side Guacamole,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.87,3.0,0.0,3,0,1,15,3.0,2019-12-5
Side Guacamole,1.0,0.0,3.0,-3.0,-0.0,0.0,0.0,0.0,0.0,2,0,1,11,0.0,2019-12-4
Side Guacamole,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Side Guacamole,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Side Guacamole,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Side Guacamole,2.0,0.0,6.0,-0.75,-0.0,5.25,0.44,2.63,0.0,4,0,2,22,5.25,2019-12-13
Side Guacamole,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Side Guacamole,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.43,3.0,0.0,2,0,3,12,3.0,2019-12-18
Side Guacamole,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Side Guacamole,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Side Guacamole,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.4,3.0,0.0,5,1,3,18,6.0,2019-12-21
Side Guacamole,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Side Guacamole,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Side Guacamole,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.08,3.0,0.0,6,0,2,15,3.0,2019-12-8
Side Guacamole,3.0,0.0,9.0,-3.0,-0.0,6.0,0.2,2.0,0.0,0,0,2,16,6.0,2019-12-9
Side Guacamole,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Side Guacamole,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Side Guacamole,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.98,3.0,0.0,1,0,2,16,6.0,2019-12-10
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.33,3.0,0.0,4,0,1,18,6.0,2019-12-6
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.2,3.0,0.0,5,1,1,16,6.0,2019-12-7
Side Guacamole,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Side Guacamole,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.54,3.0,0.0,0,0,4,9,6.0,2019-12-23
Side Guacamole,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
Side Guacamole,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.78,3.0,0.0,0,0,3,15,3.0,2019-12-16
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,1.24,3.0,0.0,1,0,3,12,6.0,2019-12-17
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.48,3.0,0.0,1,0,1,9,3.0,2020-2-4
Side Guacamole,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
Side Guacamole,4.0,0.0,12.0,-9.0,-0.0,3.0,0.83,0.75,0.0,2,0,3,19,3.0,2020-2-19
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.32,3.0,0.0,1,0,3,19,6.0,2020-2-18
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.31,3.0,0.0,3,0,4,24,3.0,2020-2-27
Side Guacamole,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
Side Guacamole,2.0,0.0,6.0,-3.0,-0.0,3.0,0.33,1.5,0.0,3,0,2,17,3.0,2020-2-13
Side Guacamole,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.61,3.0,0.0,3,0,3,23,6.0,2020-2-20
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.09,3.0,0.0,4,0,3,24,3.0,2020-2-21
Side Guacamole,4.0,0.0,12.0,0.0,-0.0,12.0,0.23,3.0,0.0,4,0,2,18,12.0,2020-2-14
Side Guacamole,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2020-2-15
Side Guacamole,1.0,0.0,3.0,-3.0,-0.0,0.0,0.0,0.0,0.0,6,0,2,10,0.0,2020-2-9
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.55,3.0,0.0,5,1,2,20,6.0,2020-2-8
Side Guacamole,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
Side Guacamole,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.63,3.0,0.0,0,0,2,13,3.0,2020-2-10
Side Guacamole,4.0,0.0,12.0,-3.0,-0.0,9.0,1.49,2.25,0.0,1,0,2,16,9.0,2020-2-11
Side Guacamole,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2020-2-24
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.26,3.0,0.0,1,0,4,25,3.0,2020-2-25
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.15,3.0,0.0,4,0,1,19,3.0,2020-2-7
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.8,3.0,0.0,3,0,1,14,6.0,2020-2-6
Side Guacamole,0,0,0,0,0,0,0,0,0,5,1,1,24,0,2020-2-1
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.73,3.0,0.0,0,0,3,19,6.0,2020-2-17
Side Guacamole,0,0,0,0,0,0,0,0,0,6,0,3,20,0,2020-2-16
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.22,3.0,0.0,5,1,5,19,3.0,2020-2-29
Side Guacamole,4.0,1.0,12.0,0.0,-3.0,9.0,0.33,3.0,0.0,4,0,4,23,9.0,2020-2-28
Side Guacamole,0,0,0,0,0,0,0,0,0,6,0,4,14,0,2020-2-23
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.43,3.0,0.0,5,1,4,14,6.0,2020-2-22
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.75,3.0,0.0,4,0,1,19,6.0,2020-1-3
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.91,3.0,0.0,3,0,1,17,3.0,2020-1-2
Side Guacamole,0,0,0,0,0,0,0,0,0,3,0,2,11,0,2020-1-9
Side Guacamole,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-1-8
Side Guacamole,0,0,0,0,0,0,0,0,0,1,0,2,15,0,2020-1-14
Side Guacamole,0,0,0,0,0,0,0,0,0,2,0,3,15,0,2020-1-15
Side Guacamole,2.0,0.0,6.0,-3.0,-0.0,3.0,0.19,1.5,0.0,0,0,3,17,3.0,2020-1-20
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.59,3.0,0.0,1,0,3,11,3.0,2020-1-21
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.5,3.0,0.0,0,0,2,13,3.0,2020-1-13
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.2,3.0,0.0,6,0,2,15,6.0,2020-1-12
